LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. γ rate
,,,,,,,,,(frame),(frame),(frame),(µm),(µm),(µm),(µm),(µm/frame),(µm/frame),(µm/frame),(µm/frame),(µm/frame),(quality),(µm),(µm),,(µm/frame),,(rad/frame)
Track_30803,0,0,12,0,0,0,0,0,11.0,0.0,11.0,5.9376860985819535,433.79309583593704,109.50483627800249,0.0,1.2352006398569098,2.8624715335772186,0.5096005298362793,1.0144951821105324,0.7577467679035195,3403.5833333333335,13.587207038426007,6.8941351348588,0.43700563933335024,0.5397896453256321,0.43700563933335024,1.1010314762048408
Track_30804,1,1,9,2,0,0,0,6,16.0,3.0,19.0,3.826463845390788,364.57228939648917,132.69663590313417,0.0,0.6221448035919677,1.5561759214357762,0.21404650306206074,0.6398241903434295,0.41742087703652747,2484.0,7.52096225825871,3.826463845390788,0.5087731747608463,0.23915399033692425,0.38440245575654264,0.9638310573810877
Track_30805,2,2,124,0,0,0,0,0,123.0,0.0,123.0,28.879138817253565,131.93440026016788,626.9465498610109,0.0,1.1252215814364506,3.737001771610851,0.07180527083688115,0.9437430785062101,0.7347811384691473,2503.185483870968,138.40225451668334,29.122307736142286,0.2086608987556081,0.2347897464817363,0.20866089875560798,1.6426383697566813
Track_30806,3,3,124,0,0,0,0,0,123.0,0.0,123.0,9.655632979454298,667.7219622099227,583.6567354956271,0.0,0.5085373493960267,1.9122883264631183,0.016618988528546867,0.40992867718030274,0.38668179789439616,5558.129032258064,62.55009397571126,12.401100464222338,0.15436640244223554,0.07850108113377478,0.1543664024422355,1.7559712564070467
Track_30807,4,4,97,5,0,0,0,12,123.0,0.0,123.0,13.707659043144444,76.72436613061215,59.8148827644592,0.0,0.8708528494634201,2.8155831436815544,0.05504356606803193,0.7394831436401491,0.5819046412653228,5197.134020618557,88.58658331042838,14.771602998732286,0.15473741655787263,0.11144438246458897,0.12797154253242202,1.714190543408107
Track_30808,5,5,48,0,0,0,0,0,47.0,0.0,47.0,26.952690905931835,56.46541367247496,335.53706718859183,0.0,2.709681183528571,8.15913481404164,0.13186166524015488,2.565239846059047,1.6299554414082267,5044.520833333333,127.35501562584282,31.007479568207817,0.21163431038410244,0.5734615086368475,0.2116343103841024,1.5512273738655196
Track_30809,6,6,18,3,0,0,0,1,20.0,0.0,20.0,9.331411225744837,705.1690520384584,14.50344530450524,0.0,1.2712283941307105,2.749664777450813,0.6115890324864145,1.1480062445914592,0.6244521469624967,9166.611111111111,24.40847350384788,10.058844387868952,0.38230212242784395,0.46657056128724184,0.36702339519901256,0.9891920781758614
