ID	Track	Slice	X	Y	Distance	Velocity	PixelValue
2	1	2	1721	199	25.784	17.189	-10521483
3	1	3	1677	259	25.223	16.815	-8480868
4	1	4	1639	324	25.524	17.016	-7826272
5	1	5	1616	425	35.116	23.410	-10129562
6	1	6	1589	482	21.381	14.254	-7632241
7	1	7	1553	530	20.340	13.560	-9141093
8	1	8	1507	593	26.444	17.629	-9339774
9	1	9	1452	597	18.694	12.463	-9668739
10	1	10	1440	587	5.295	3.530	-8418421
11	1	11	1434	593	2.877	1.918	-5592657
12	1	12	1419	591	5.130	3.420	-5794385
13	1	13	1415	595	1.918	1.278	-6978186
14	1	14	1400	599	5.263	3.508	-7435872
15	1	15	1383	593	6.111	4.074	-8817528
16	1	16	1383	593	0.000	0.000	-7438442
17	1	17	1381	595	0.959	0.639	-5204295
18	1	18	1371	587	4.341	2.894	-9401717
19	1	19	1371	578	3.051	2.034	-7372643
20	1	20	1369	593	5.130	3.420	-9076863
21	1	21	1375	589	2.445	1.630	-7370096
22	1	22	1367	589	2.712	1.808	-5530445
23	1	23	1358	593	3.339	2.226	-6125646
24	1	24	1367	589	3.339	2.226	-6781284
25	1	25	1362	584	2.397	1.598	-9274245
26	1	26	1369	580	2.733	1.822	-6978669
27	1	27	1367	582	0.959	0.639	-7766899
28	1	28	1362	578	2.171	1.447	-8223849
29	1	29	1356	572	2.877	1.918	-7502699
30	1	30	1362	574	2.144	1.429	-6645094
31	1	31	1364	574	0.678	0.452	-5660507
32	1	32	1362	576	0.959	0.639	-6709848
33	1	33	1362	576	0.000	0.000	-9476503
34	1	34	1350	576	4.068	2.712	-12758705
35	1	35	1356	580	2.445	1.630	-11442331
36	1	36	1360	576	1.918	1.278	-10528924
37	1	37	1358	576	0.678	0.452	-10781842
38	1	38	1367	578	3.125	2.084	-9211773
39	1	39	1362	578	1.695	1.130	-7898983
40	1	40	1360	570	2.795	1.864	-10320503
41	1	41	1369	582	5.085	3.390	-7958359
42	1	42	1364	587	2.397	1.598	-8548730
43	1	43	1362	580	2.468	1.645	-9078147
44	1	44	1360	593	4.459	2.973	-8288355
45	1	45	1367	589	2.733	1.822	-6715499
46	1	46	1390	608	10.113	6.742	-4935489
47	1	47	1392	612	1.516	1.011	-7109730
48	1	48	1387	608	2.171	1.447	-6382422
49	1	49	1383	614	2.445	1.630	-10318207
50	1	50	1371	605	5.085	3.390	-5469005
51	1	51	1364	603	2.468	1.645	-9608849
52	1	52	1367	612	3.216	2.144	-7499376
53	1	53	1371	618	2.445	1.630	-6185043
54	1	54	1362	610	4.082	2.721	-6845794
55	1	55	1362	601	3.051	2.034	-8746622
56	1	56	1354	599	2.795	1.864	-6382682
57	1	57	1360	608	3.667	2.445	-9406342
58	1	58	1354	591	6.111	4.074	-8082518
