ID	Track	Slice	X	Y	Distance	Velocity	PixelValue
2	1	2	1884	1876	9.924	6.616	-10920602
3	1	3	1918	1838	17.286	11.524	-8947338
4	1	4	1918	1836	0.678	0.452	-9145739
5	1	5	1895	1826	8.502	5.668	-10000276
6	1	6	1920	1828	8.502	5.668	-9340036
7	1	7	1945	1784	17.156	11.437	-11316135
8	1	8	1958	1740	15.553	10.369	-9276562
9	1	9	1960	1696	14.931	9.954	-10261147
10	1	10	1947	1673	8.956	5.971	-8616588
11	1	11	1922	1656	10.249	6.833	-12633522
12	1	12	1872	1555	38.205	25.470	-12429750
13	1	13	1790	1530	29.061	19.374	-10856600
14	1	14	1748	1534	14.302	9.535	-10061451
15	1	15	1746	1545	3.790	2.527	-10985623
16	1	16	1756	1545	3.390	2.260	-10527381
17	1	17	1763	1572	9.456	6.304	-9276814
18	1	18	1765	1576	1.516	1.011	-10001038
19	1	19	1756	1568	4.082	2.721	-10263958
20	1	20	1769	1561	5.005	3.337	-10722720
21	1	21	1767	1574	4.459	2.973	-11841710
22	1	22	1759	1561	5.175	3.450	-10392987
23	1	23	1763	1574	4.611	3.074	-10194834
24	1	24	1769	1574	2.034	1.356	-12171949
25	1	25	1769	1574	0.000	0.000	-11184799
26	1	26	1784	1587	6.729	4.486	-10131084
27	1	27	1761	1566	10.558	7.039	-11644333
28	1	28	1763	1568	0.959	0.639	-10062229
29	1	29	1767	1559	3.339	2.226	-10392724
30	1	30	1769	1566	2.468	1.645	-10394264
31	1	31	1773	1559	2.733	1.822	-10985892
32	1	32	1769	1561	1.516	1.011	-9802131
33	1	33	1771	1559	0.959	0.639	-10257806
34	1	34	1761	1557	3.457	2.305	-10526629
35	1	35	1761	1553	1.356	0.904	-12232368
36	1	36	1754	1543	4.138	2.759	-12167096
37	1	37	1742	1551	4.889	3.259	-9669780
38	1	38	1754	1557	4.548	3.032	-12166306
39	1	39	1784	1576	12.038	8.025	-10852764
40	1	40	1763	1599	10.558	7.039	-12501700
41	1	41	1763	1606	2.373	1.582	-11121059
42	1	42	1777	1612	5.163	3.442	-12038582
43	1	43	1798	1618	7.404	4.936	-11773363
44	1	44	1794	1618	1.356	0.904	-12107441
45	1	45	1796	1603	5.130	3.420	-11709627
46	1	46	1792	1610	2.733	1.822	-12890290
47	1	47	1801	1618	4.082	2.721	-9341855
48	1	48	1813	1624	4.548	3.032	-10527657
49	1	49	1813	1618	2.034	1.356	-12431796
50	1	50	1801	1622	4.288	2.859	-11246756
51	1	51	1786	1624	5.130	3.420	-13422012
52	1	52	1801	1626	5.130	3.420	-10589863
53	1	53	1796	1626	1.695	1.130	-11380381
55	2	2	1821	1905	10.596	7.064	-10126482
56	2	3	1857	1878	15.255	10.170	-11711658
57	2	4	1861	1878	1.356	0.904	-11181737
58	2	5	1851	1876	3.457	2.305	-10917286
59	2	6	1859	1872	3.032	2.021	-11116459
60	2	7	1895	1830	18.753	12.502	-11116197
61	2	8	1935	1790	19.177	12.784	-11837862
62	2	9	1945	1767	8.502	5.668	-12431279
63	2	10	1945	1742	8.475	5.650	-10127513
64	2	11	1926	1723	9.109	6.073	-10792850
65	2	12	1914	1614	37.174	24.783	-11970225
66	2	13	1849	1538	33.902	22.601	-9534598
67	2	14	1819	1528	10.720	7.147	-9340297
68	2	15	1803	1534	5.793	3.862	-10196124
69	2	16	1811	1534	2.712	1.808	-11050653
70	2	17	1815	1549	5.263	3.508	-10063248
71	2	18	1815	1541	2.712	1.808	-11247006
72	2	19	1811	1536	2.171	1.447	-10653588
73	2	20	1815	1536	1.356	0.904	-9996689
74	2	21	1819	1543	2.733	1.822	-10522518
75	2	22	1817	1536	2.468	1.645	-9538446
76	2	23	1811	1545	3.667	2.445	-9800597
77	2	24	1813	1534	3.790	2.527	-10782622
78	2	25	1811	1532	0.959	0.639	-9208459
79	2	26	1819	1541	4.082	2.721	-10128273
80	2	27	1813	1543	2.144	1.429	-10124675
81	2	28	1813	1545	0.678	0.452	-9734283
82	2	29	1813	1530	5.085	3.390	-10918557
83	2	30	1815	1541	3.790	2.527	-9536904
84	2	31	1813	1526	5.130	3.420	-11187885
85	2	32	1811	1536	3.457	2.305	-9478027
86	2	33	1815	1532	1.918	1.278	-11708071
87	2	34	1815	1538	2.034	1.356	-10719131
88	2	35	1815	1541	1.017	0.678	-10850967
89	2	36	1813	1541	0.678	0.452	-9866130
90	2	37	1815	1549	2.795	1.864	-11311258
91	2	38	1813	1547	0.959	0.639	-11575971
92	2	39	1819	1553	2.877	1.918	-10986403
93	2	40	1815	1555	1.516	1.011	-11903924
94	2	41	1811	1557	1.516	1.011	-11381661
95	2	42	1815	1557	1.356	0.904	-9010311
96	2	43	1813	1557	0.678	0.452	-10983849
97	2	44	1819	1564	3.125	2.084	-11117978
98	2	45	1819	1564	0.000	0.000	-12299685
99	2	46	1819	1568	1.356	0.904	-12825524
100	2	47	1821	1570	0.959	0.639	-11706014
101	2	48	1826	1568	1.826	1.217	-12821423
102	2	49	1826	1568	0.000	0.000	-11705767
103	2	50	1826	1564	1.356	0.904	-11576998
104	2	51	1826	1570	2.034	1.356	-11053217
105	2	52	1830	1570	1.356	0.904	-11312038
106	2	53	1828	1564	2.144	1.429	-10590616
108	4	55	1836	1566	2.171	1.447	-10389907
109	4	56	1834	1578	4.124	2.749	-10651794
110	4	57	1828	1572	2.877	1.918	-10258067
111	4	58	1830	1572	0.678	0.452	-10257036
112	4	59	1832	1572	0.678	0.452	-10718868
113	4	60	1830	1574	0.959	0.639	-10981529
114	4	61	1832	1576	0.959	0.639	-10324114
115	4	62	1832	1574	0.678	0.452	-11047320
116	4	63	1832	1574	0.000	0.000	-10126731
117	4	64	1832	1572	0.678	0.452	-10521750
118	4	65	1832	1572	0.000	0.000	-10323597
119	4	66	1832	1572	0.000	0.000	-11178910
120	4	67	1832	1572	0.000	0.000	-11047320
121	4	68	1834	1572	0.678	0.452	-10126735
122	4	69	1834	1572	0.000	0.000	-10587284
123	4	70	1834	1572	0.000	0.000	-10388361
124	4	71	1830	1572	1.356	0.904	-10915736
125	4	72	1830	1572	0.000	0.000	-10192524
126	4	73	1834	1568	1.918	1.278	-10717326
127	4	74	1832	1568	0.678	0.452	-10652564
128	4	75	1832	1572	1.356	0.904	-10981527
129	4	76	1832	1570	0.678	0.452	-11113115
130	4	77	1832	1570	0.000	0.000	-10981013
131	4	78	1832	1572	0.678	0.452	-11047070
132	4	79	1834	1572	0.678	0.452	-11375256
133	4	80	1834	1572	0.000	0.000	-11837612
134	4	81	1834	1570	0.678	0.452	-11309465
135	4	82	1834	1570	0.000	0.000	-11506844
136	4	83	1834	1568	0.678	0.452	-11308697
137	4	84	1834	1568	0.000	0.000	-11308699
138	4	85	1832	1566	0.959	0.639	-11244701
139	4	86	1832	1566	0.000	0.000	-11507105
140	4	87	1832	1566	0.000	0.000	-11311266
141	4	88	1832	1566	0.000	0.000	-11310492
142	4	89	1832	1566	0.000	0.000	-11309465
143	4	90	1832	1566	0.000	0.000	-11179413
144	4	91	1832	1566	0.000	0.000	-11439764
145	4	92	1830	1566	0.678	0.452	-10458006
146	4	93	1830	1568	0.678	0.452	-10198165
147	4	94	1830	1566	0.678	0.452	-11117978
148	4	95	1830	1566	0.000	0.000	-10723480
149	4	96	1830	1566	0.000	0.000	-11179670
150	4	97	1830	1566	0.000	0.000	-11571600
151	4	98	1830	1566	0.000	0.000	-13681346
152	4	99	1832	1566	0.678	0.452	-13478577
153	4	100	1832	1566	0.000	0.000	-13679806
154	4	101	1832	1566	0.000	0.000	-14269113
155	4	102	1832	1566	0.000	0.000	-10852512
156	4	103	1830	1566	0.678	0.452	-10658976
157	4	104	1830	1566	0.000	0.000	-11179924
158	4	105	1830	1566	0.000	0.000	-14334389
159	4	106	1830	1566	0.000	0.000	-11704734
