ID	Track	Slice	X	Y	Distance	Velocity	PixelValue
2	1	2	580	1733	30.940	20.627	-8751976
3	1	3	587	1717	5.920	3.947	-8416105
4	1	4	608	1608	37.631	25.087	-6250621
5	1	5	658	1658	23.971	15.981	-6843979
6	1	6	654	1647	3.968	2.645	-7500895
7	1	7	643	1624	8.643	5.762	-9008218
8	1	8	647	1476	50.190	33.460	-10130585
9	1	9	723	1346	51.048	34.032	-6385987
10	1	10	800	1278	34.825	23.216	-8682868
11	1	11	796	1270	3.032	2.021	-7698522
12	1	12	771	1281	9.259	6.173	-9002054
13	1	13	796	1291	9.128	6.085	-8086924
14	1	14	782	1289	4.794	3.196	-12950699
15	1	15	782	1297	2.712	1.808	-8290432
16	1	16	784	1299	0.959	0.639	-8545379
17	1	17	767	1308	6.521	4.347	-9072485
18	1	18	756	1299	4.818	3.212	-9403519
19	1	19	750	1293	2.877	1.918	-12758445
20	1	20	752	1312	6.477	4.318	-6184802
21	1	21	744	1304	3.835	2.557	-10257818
22	1	22	735	1308	3.339	2.226	-12758946
23	1	23	731	1306	1.516	1.011	-8939610
24	1	24	727	1312	2.445	1.630	-8881797
25	1	25	742	1318	5.477	3.651	-4934263
26	1	26	738	1318	1.356	0.904	-9080189
27	1	27	744	1310	3.390	2.260	-5523289
28	1	28	729	1310	5.085	3.390	-8153944
29	1	29	733	1312	1.516	1.011	-8095350
30	1	30	738	1312	1.695	1.130	-6702918
31	1	31	719	1320	6.989	4.659	-7041635
32	1	32	683	1335	13.221	8.814	-7178073
33	1	33	675	1322	5.175	3.450	-7829107
34	1	34	670	1320	1.826	1.217	-8948589
35	1	35	662	1327	3.604	2.402	-10523498
36	1	36	649	1339	5.998	3.998	-9799031
37	1	37	654	1333	2.648	1.765	-9730415
38	1	38	664	1339	3.953	2.636	-8613233
39	1	39	660	1327	4.288	2.859	-7837778
40	1	40	660	1339	4.068	2.712	-7901580
41	1	41	664	1314	8.583	5.722	-11572870
42	1	42	666	1293	7.151	4.767	-10986877
43	1	43	628	1276	14.112	9.408	-10265742
44	1	44	578	1327	24.212	16.141	-6182233
45	1	45	578	1339	4.068	2.712	-5664836
46	1	46	576	1356	5.803	3.868	-9012864
47	1	47	589	1337	7.804	5.203	-8743536
48	1	48	584	1343	2.648	1.765	-9405336
49	1	49	568	1316	10.639	7.093	-6578513
50	1	50	570	1308	2.795	1.864	-9810044
51	1	51	566	1302	2.445	1.630	-6319701
52	1	52	557	1325	8.373	5.582	-6450787
53	1	53	566	1343	6.822	4.548	-6774108
54	1	54	549	1341	5.803	3.868	-11045255
55	1	55	509	1341	13.560	9.040	-6710875
56	1	56	465	1335	15.054	10.036	-9074294
57	1	57	369	1304	34.199	22.799	-9803659
58	1	58	343	1247	21.238	14.159	-8483700
59	1	59	291	1176	29.834	19.889	-8352365
60	1	60	188	1151	35.931	23.954	-8749684
61	1	61	222	1142	11.923	7.949	-13035479
62	1	62	224	1155	4.459	2.973	-8939942
63	1	63	230	1155	2.034	1.356	-11969951
64	1	64	222	1163	3.835	2.557	-10202500
65	1	65	205	1157	6.111	4.074	-15193823
66	1	66	188	1159	5.803	3.868	-11123146
67	1	67	169	1186	11.192	7.461	-7564164
68	1	68	148	1176	7.885	5.257	-8823937
69	1	69	102	1088	33.662	22.441	-9339310
70	1	70	119	1100	7.054	4.703	-5265033
71	1	71	104	1140	14.482	9.655	-14461359
72	1	72	104	1153	4.407	2.938	-14588584
73	1	73	102	1134	6.477	4.318	-10061977
74	1	74	100	1142	2.795	1.864	-6715248
75	1	75	132	1125	12.284	8.189	-6909796
76	1	76	186	1165	22.781	15.187	-13686690
77	1	77	85	1207	37.081	24.721	-9156249
78	1	78	115	1213	10.371	6.914	-9291446
79	1	79	150	1184	15.409	10.272	-9534598
80	1	80	220	1247	31.925	21.284	-9146993
82	2	2	584	1821	25.820	17.213	-14865898
83	2	3	570	1817	4.936	3.291	-12051665
84	2	4	587	1696	41.422	27.615	-11261610
85	2	5	591	1736	13.628	9.085	-11121590
86	2	6	599	1742	3.390	2.260	-9876337
87	2	7	624	1719	11.516	7.677	-213291
88	2	8	639	1566	52.116	34.744	-9134985
89	2	9	685	1425	50.278	33.519	-12839361
90	2	10	758	1364	32.250	21.500	-12566202
91	2	11	769	1367	3.865	2.577	-8481656
92	2	12	773	1371	1.918	1.278	-7624566
93	2	13	792	1375	6.582	4.388	-11965354
94	2	14	796	1377	1.516	1.011	-8482710
95	2	15	798	1381	1.516	1.011	-8876171
96	2	16	790	1383	2.795	1.864	-11501202
97	2	17	803	1385	4.459	2.973	-14736079
98	2	18	794	1381	3.339	2.226	-13874614
99	2	19	794	1373	2.712	1.808	-13541788
100	2	20	786	1379	3.390	2.260	-14998449
101	2	21	775	1381	3.790	2.527	-13595772
102	2	22	767	1379	2.795	1.864	-15124896
103	2	23	761	1373	2.877	1.918	-9152384
104	2	24	767	1371	2.144	1.429	-13292222
105	2	25	769	1381	3.457	2.305	-10074256
106	2	26	767	1381	0.678	0.452	-11969412
107	2	27	769	1383	0.959	0.639	-10865539
108	2	28	765	1377	2.445	1.630	-7899246
109	2	29	769	1379	1.516	1.011	-15385022
110	2	30	769	1385	2.034	1.356	-13556423
111	2	31	758	1402	6.864	4.576	-11501965
112	2	32	750	1400	2.795	1.864	-9881499
113	2	33	746	1392	3.032	2.021	-5872504
114	2	34	744	1383	3.125	2.084	-11577275
115	2	35	738	1375	3.390	2.260	-13813447
116	2	36	752	1381	5.163	3.442	-11256279
117	2	37	744	1383	2.795	1.864	-11522717
118	2	38	756	1394	5.519	3.679	-11903108
119	2	39	742	1385	5.642	3.761	-11389585
120	2	40	742	1383	0.678	0.452	-10461812
121	2	41	740	1385	0.959	0.639	-12433063
122	2	42	746	1364	7.404	4.936	-9145503
123	2	43	704	1341	16.233	10.822	-8418433
124	2	44	691	1337	4.611	3.074	-11635117
125	2	45	689	1358	7.151	4.767	-13416894
126	2	46	689	1356	0.678	0.452	-12573674
127	2	47	687	1360	1.516	1.011	-8570530
128	2	48	685	1350	3.457	2.305	-12762564
129	2	49	681	1331	6.582	4.388	-14803390
130	2	50	679	1329	0.959	0.639	-13815269
131	2	51	679	1322	2.373	1.582	-7841143
132	2	52	679	1318	1.356	0.904	-9153136
133	2	53	687	1329	4.611	3.074	-7570583
134	2	54	660	1337	9.546	6.364	-4744831
135	2	55	618	1339	14.254	9.503	-8098465
136	2	56	580	1346	13.099	8.732	-6841470
137	2	57	475	1337	35.726	23.817	-9870467
138	2	58	392	1314	29.197	19.465	-15452844
139	2	59	337	1249	28.865	19.243	-5201006
140	2	60	255	1182	35.897	23.931	-12767667
141	2	61	283	1188	9.707	6.472	-12375203
142	2	62	285	1209	7.151	4.767	-14406850
143	2	63	293	1207	2.795	1.864	-8418721
144	2	64	280	1195	5.998	3.998	-8026775
145	2	65	270	1197	3.457	2.305	-11788946
146	2	66	268	1184	4.459	2.973	-11318455
147	2	67	247	1205	10.068	6.712	-11915969
148	2	68	218	1226	12.138	8.092	-12700117
149	2	69	155	1159	31.177	20.785	-7636339
150	2	70	180	1140	10.645	7.097	-12370866
151	2	71	176	1165	8.583	5.722	-9267825
152	2	72	182	1167	2.144	1.429	-11108260
153	2	73	157	1167	8.475	5.650	-13351366
154	2	74	161	1182	5.263	3.508	-13161681
155	2	75	174	1178	4.611	3.074	-13480618
156	2	76	169	1190	4.407	2.938	-10455706
157	2	77	142	1197	9.456	6.304	-8161958
158	2	78	138	1203	2.445	1.630	-14016455
159	2	79	150	1199	4.288	2.859	-13735352
160	2	80	153	1199	1.017	0.678	-8424881
