ID	Track	Slice	X	Y	Distance	Velocity	PixelValue
2	1	2	998	1671	47.558	31.705	-8357729
3	1	3	1048	1614	25.704	17.136	-7048001
4	1	4	1092	1501	41.109	27.406	-7495524
5	1	5	1130	1444	23.223	15.482	-8225624
6	1	6	1159	1446	9.854	6.570	-9667177
7	1	7	1241	1417	29.485	19.657	-9539681
8	1	8	1348	1375	38.967	25.978	-9072475
9	1	9	1476	1358	43.773	29.182	-9406072
10	1	10	1524	1400	21.622	14.414	-10388612
11	1	11	1572	1434	19.941	13.294	-9602679
12	1	12	1578	1436	2.144	1.429	-9929847
13	1	13	1576	1444	2.795	1.864	-10259574
14	1	14	1591	1467	9.309	6.206	-9798771
15	1	15	1597	1480	4.854	3.236	-10127998
16	1	16	1616	1446	13.204	8.802	-9732989
17	1	17	1620	1434	4.288	2.859	-10256250
18	1	18	1620	1411	7.797	5.198	-10715770
19	1	19	1629	1404	3.865	2.577	-10126204
20	1	20	1629	1413	3.051	2.034	-10323835
21	1	21	1654	1415	8.502	5.668	-7568742
22	1	22	1662	1404	4.611	3.074	-6848089
23	1	23	1668	1394	3.953	2.636	-10521214
24	1	24	1668	1394	0.000	0.000	-10586755
25	1	25	1652	1404	6.396	4.264	-10193540
26	1	26	1647	1419	5.360	3.573	-9667961
27	1	27	1658	1408	5.274	3.516	-10322821
28	1	28	1666	1396	4.889	3.259	-10522754
29	1	29	1666	1381	5.085	3.390	-10323835
30	1	30	1671	1383	1.826	1.217	-10060411
31	1	31	1706	1383	11.865	7.910	-10256751
32	1	32	1767	1367	21.379	14.252	-8618596
33	1	33	1803	1337	15.886	10.591	-8619624
34	1	34	1811	1308	10.198	6.799	-10126455
35	1	35	1821	1276	11.365	7.577	-10455171
36	1	36	1826	1264	4.407	2.938	-10325367
37	1	37	1840	1237	10.310	6.874	-10455411
38	1	38	1863	1165	25.623	17.082	-9471849
39	1	39	1868	1167	1.826	1.217	-9538408
40	1	40	1872	1107	20.385	13.590	-8554597
41	1	41	1830	1042	26.235	17.490	-8745341
42	1	42	1792	995	20.489	13.659	-9535848
43	1	43	1763	909	30.767	20.511	-7830361
44	1	44	1767	842	22.753	15.169	-5004855
45	1	45	1740	788	20.467	13.644	-9076075
46	1	46	1694	798	15.958	10.639	-7307877
47	1	47	1666	784	10.612	7.075	-9734008
48	1	48	1637	786	9.854	6.570	-10257531
49	1	49	1633	782	1.918	1.278	-10585466
50	1	50	1637	775	2.733	1.822	-9796479
51	1	51	1645	765	4.341	2.894	-9862779
52	1	52	1641	775	3.651	2.434	-9864323
53	1	53	1637	782	2.733	1.822	-9143421
54	1	54	1635	779	1.222	0.815	-10585213
55	1	55	1637	769	3.457	2.305	-10782846
56	1	56	1616	775	7.404	4.936	-9931386
57	1	57	1606	782	4.138	2.759	-9341819
58	1	58	1608	807	8.502	5.668	-10193026
59	1	59	1606	809	0.959	0.639	-9277057
60	1	60	1612	811	2.144	1.429	-6847837
61	1	61	1582	847	15.886	10.591	-8483689
62	1	62	1557	901	20.173	13.448	-8946810
63	1	63	1541	951	17.797	11.864	-9076856
64	1	64	1536	983	10.980	7.320	-9930616
65	1	65	1530	1029	15.726	10.484	-8749684
66	1	66	1515	1077	17.048	11.365	-9666425
67	1	67	1532	1132	19.515	13.010	-7698021
68	1	68	1536	1186	18.356	12.237	-9139048
69	1	69	1528	1239	18.171	12.114	-8288353
70	1	70	1517	1302	21.680	14.453	-8614756
71	1	71	1532	1360	20.309	13.539	-8553843
72	1	72	1549	1423	22.121	14.747	-9400941
73	1	73	1585	1480	22.854	15.236	-9274737
74	1	74	1585	1482	0.678	0.452	-10062723
75	1	75	1578	1490	3.604	2.402	-9863553
76	1	76	1576	1486	1.516	1.011	-9405292
77	1	77	1576	1499	4.407	2.938	-9862773
78	1	78	1568	1490	4.082	2.721	-8358006
79	1	79	1557	1490	3.729	2.486	-8487020
80	1	80	1549	1488	2.795	1.864	-7898223
81	1	81	1572	1490	7.826	5.218	-10721680
82	1	82	1582	1497	4.138	2.759	-9800838
83	1	83	1591	1522	9.007	6.005	-10257279
84	1	84	1631	1570	21.181	14.121	-9867647
85	1	85	1666	1601	15.850	10.567	-8423043
86	1	86	1685	1595	6.755	4.503	-9537911
87	1	87	1715	1614	12.038	8.025	-8947071
88	1	88	1740	1626	9.401	6.267	-9865601
89	1	89	1769	1639	10.774	7.182	-9671821
90	1	90	1771	1643	1.516	1.011	-7571562
91	1	91	1830	1666	21.467	14.311	-9931397
92	1	92	1868	1715	21.021	14.014	-9802121
93	1	93	1834	1731	12.738	8.492	-10325642
94	1	94	1849	1756	9.883	6.589	-9340295
95	1	95	1834	1750	5.477	3.651	-9866876
96	1	96	1847	1752	4.459	2.973	-9666693
97	1	97	1821	1767	10.176	6.784	-9472126
98	1	98	1821	1790	7.797	5.198	-8751749
99	1	99	1824	1834	14.951	9.967	-8871533
100	1	100	1828	1847	4.611	3.074	-5931365
101	1	101	1845	1830	8.150	5.433	-10851735
102	1	102	1836	1819	4.818	3.212	-12621726
103	1	103	1851	1813	5.477	3.651	-11506592
104	1	104	1828	1811	7.826	5.218	-12691128
105	1	105	1840	1796	6.512	4.341	-8816764
106	1	106	1828	1786	5.295	3.530	-13947311
107	1	107	1796	1775	11.471	7.647	-11645891
108	1	108	1784	1773	4.124	2.749	-12749183
109	1	109	1771	1780	5.005	3.337	-10855856
110	1	110	1746	1752	12.725	8.483	-9803148
111	1	111	1729	1746	6.111	4.074	-9864061
112	1	112	1698	1723	13.086	8.724	-8093803
113	1	113	1698	1681	14.238	9.492	-8027239
114	1	114	1700	1666	5.130	3.420	-8688240
115	1	115	1706	1660	2.877	1.918	-8878707
116	1	116	1727	1635	11.068	7.379	-8559736
117	1	117	1744	1616	8.643	5.762	-9263740
118	1	118	1740	1603	4.611	3.074	-11513535
119	1	119	1748	1610	3.604	2.402	-11184552
120	1	120	1756	1608	2.795	1.864	-7568542
122	2	2	995	1765	40.411	26.940	-3947830
123	2	3	979	1689	26.329	17.553	-11838640
124	2	4	1071	1587	46.565	31.044	-7155776
125	2	5	1083	1513	25.414	16.942	-12957891
126	2	6	1096	1503	5.560	3.707	-8828298
127	2	7	1172	1459	29.770	19.847	-13806780
128	2	8	1281	1394	43.022	28.682	-13479830
129	2	9	1394	1373	38.963	25.975	-10076335
130	2	10	1448	1398	20.173	13.448	-15452591
131	2	11	1501	1411	18.500	12.333	-13802938
132	2	12	1505	1408	1.695	1.130	-16373461
133	2	13	1515	1411	3.539	2.360	-10454970
134	2	14	1530	1415	5.263	3.508	-9877672
135	2	15	1543	1421	4.854	3.236	-9399148
136	2	16	1549	1404	6.111	4.074	-10859922
137	2	17	1547	1402	0.959	0.639	-8672339
138	2	18	1536	1404	3.790	2.527	-14995654
139	2	19	1549	1413	5.360	3.573	-10015921
140	2	20	1547	1400	4.459	2.973	-8351353
141	2	21	1576	1392	10.198	6.799	-11582629
142	2	22	1585	1402	4.561	3.041	-8345191
143	2	23	1591	1396	2.877	1.918	-8422536
144	2	24	1580	1398	3.790	2.527	-14403770
145	2	25	1564	1394	5.591	3.727	-11497863
146	2	26	1574	1394	3.390	2.260	-10926002
147	2	27	1580	1385	3.667	2.445	-12829636
148	2	28	1585	1394	3.490	2.327	-12891844
149	2	29	1587	1390	1.516	1.011	-8492213
150	2	30	1591	1385	2.171	1.447	-13688269
151	2	31	1626	1375	12.340	8.227	-7117704
152	2	32	1694	1381	23.142	15.428	-11440809
153	2	33	1729	1364	13.191	8.794	-13345190
154	2	34	1752	1360	7.914	5.276	-15719389
155	2	35	1773	1335	11.068	7.379	-15323592
156	2	36	1782	1337	3.125	2.084	-14335945
157	2	37	1798	1304	12.433	8.288	-15055564
158	2	38	1849	1237	28.545	19.030	-16439761
159	2	39	1851	1237	0.678	0.452	-15583945
160	2	40	1859	1178	20.184	13.456	-13411745
161	2	41	1855	1102	25.800	17.200	-9340315
162	2	42	1832	1060	16.233	10.822	-5916743
163	2	43	1782	981	31.694	21.129	-15850209
164	2	44	1782	916	22.035	14.690	-16437696
165	2	45	1767	861	19.326	12.884	-11839143
166	2	46	1746	842	9.600	6.400	-15522262
167	2	47	1731	817	9.883	6.589	-13280446
168	2	48	1706	803	9.713	6.476	-12690091
169	2	49	1702	796	2.733	1.822	-9337494
170	2	50	1710	805	4.082	2.721	-14733522
171	2	51	1712	803	0.959	0.639	-13478075
172	2	52	1715	803	1.017	0.678	-11903671
173	2	53	1708	811	3.604	2.402	-14800095
174	2	54	1712	807	1.918	1.278	-13099481
175	2	55	1704	803	3.032	2.021	-12221335
176	2	56	1689	796	5.611	3.741	-15319752
177	2	57	1677	794	4.124	2.749	-11700124
178	2	58	1673	807	4.611	3.074	-13619150
179	2	59	1681	803	3.032	2.021	-12628399
180	2	60	1681	798	1.695	1.130	-14598599
181	2	61	1650	813	11.675	7.783	-13736876
182	2	62	1610	840	16.360	10.907	-8078444
183	2	63	1578	882	17.900	11.933	-15981270
184	2	64	1564	912	11.223	7.482	-14926803
185	2	65	1553	958	16.034	10.689	-14474961
186	2	66	1541	1004	16.116	10.744	-15051170
187	2	67	1536	1048	15.012	10.008	-14138315
188	2	68	1538	1102	18.319	12.212	-15318728
189	2	69	1543	1159	19.397	12.931	-12359584
190	2	70	1545	1218	20.012	13.342	-16111552
191	2	71	1541	1278	20.385	13.590	-13014954
192	2	72	1551	1341	21.624	14.416	-13413804
193	2	73	1557	1406	22.129	14.752	-12169134
194	2	74	1557	1406	0.000	0.000	-13614522
195	2	75	1561	1411	2.171	1.447	-12764095
196	2	76	1557	1406	2.171	1.447	-13216185
197	2	77	1557	1417	3.729	2.486	-13148078
198	2	78	1555	1408	3.125	2.084	-7177054
199	2	79	1557	1413	1.826	1.217	-11576183
200	2	80	1555	1406	2.468	1.645	-10329763
201	2	81	1553	1415	3.125	2.084	-9010035
202	2	82	1547	1408	3.125	2.084	-10578812
203	2	83	1553	1440	11.037	7.358	-12625588
