ID	Track	Slice	X	Y	Distance	Velocity	PixelValue
2	1	2	1455	132	20.815	13.876	-11509664
3	1	3	1415	171	18.939	12.626	-8743286
4	1	4	1387	203	14.414	9.610	-11316646
5	1	5	1320	310	42.797	28.532	-9010033
6	1	6	1216	358	38.830	25.887	-10592915
7	1	7	1123	442	42.483	28.322	-9267045
8	1	8	1048	526	38.175	25.450	-7495522
9	1	9	930	530	40.025	26.683	-8941150
10	1	10	813	524	39.715	26.477	-9339247
11	1	11	721	494	32.804	21.870	-8942698
12	1	12	643	442	31.779	21.186	-8481379
13	1	13	654	356	29.392	19.594	-7695436
14	1	14	670	228	43.730	29.153	-8088916
15	1	15	679	194	11.923	7.949	-7367261
16	1	16	681	197	1.222	0.815	-4208184
17	1	17	689	186	4.611	3.074	-6509936
18	1	18	731	142	20.621	13.747	-6639692
19	1	19	796	77	31.162	20.775	-9333339
20	1	20	882	27	33.723	22.482	-8351315
21	1	21	981	14	33.849	22.566	-7696970
22	1	22	1096	67	42.926	28.617	-9405545
23	1	23	1184	157	42.671	28.447	-8683373
24	1	24	1224	247	33.388	22.258	-7369828
25	1	25	1253	348	35.622	23.748	-8220769
26	1	26	1257	448	33.927	22.618	-8222051
27	1	27	1247	559	37.781	25.188	-9270897
28	1	28	1245	647	29.840	19.893	-9336956
29	1	29	1251	658	4.248	2.832	-8810595
30	1	30	1264	685	10.159	6.772	-8942711
31	1	31	1230	798	40.003	26.669	-8942449
32	1	32	1216	886	30.207	20.138	-8812138
33	1	33	1230	914	10.612	7.075	-9469547
34	1	34	1234	943	9.924	6.616	-10063222
35	1	35	1241	1039	32.630	21.754	-8813414
36	1	36	1262	1136	33.645	22.430	-9273207
37	1	37	1241	1232	33.314	22.209	-9075310
38	1	38	1199	1335	37.708	25.139	-10449520
39	1	39	1163	1455	42.471	28.314	-9072218
40	1	40	1138	1561	36.920	24.613	-9853539
41	1	41	1107	1668	37.765	25.176	-9404773
42	1	42	1102	1712	15.012	10.008	-10320739
43	1	43	1046	1738	20.930	13.954	-7884869
44	1	44	1010	1784	19.802	13.201	-10323835
45	1	45	1035	1842	21.411	14.274	-9998709
46	1	46	1004	1901	22.594	15.063	-9409393
47	1	47	937	1851	28.340	18.894	-8553306
48	1	48	880	1821	21.836	14.557	-9274996
49	1	49	758	1780	43.631	29.087	-10713470
50	1	50	710	1723	25.262	16.841	-13944015
51	1	51	675	1633	32.736	21.824	-9666633
52	1	52	675	1526	36.273	24.182	-9862005
53	1	53	693	1494	12.446	8.298	-8095574
54	1	54	763	1417	35.277	23.518	-8675938
55	1	55	878	1390	40.045	26.697	-11709348
56	1	56	966	1398	29.955	19.970	-5596204
57	1	57	1025	1413	20.637	13.758	-8151151
58	1	58	1035	1400	5.560	3.707	-10588573
59	1	59	1067	1352	19.557	13.038	-9340489
60	1	60	1138	1369	24.749	16.500	-9929865
61	1	61	1146	1438	23.548	15.698	-9206920
62	1	62	1146	1467	9.831	6.554	-9736076
64	2	2	1499	69	20.593	13.728	-11056022
65	2	3	1463	111	18.753	12.502	-14399947
66	2	4	1438	140	12.980	8.653	-9080225
67	2	5	1367	239	41.300	27.533	-14279879
68	2	6	1274	297	37.156	24.770	-13871280
69	2	7	1174	366	41.187	27.458	-14733248
70	2	8	1115	467	39.653	26.435	-6840681
71	2	9	1031	524	34.413	22.942	-6853754
72	2	10	914	519	39.699	26.466	-13212575
73	2	11	809	519	35.595	23.730	-9396868
74	2	12	687	501	41.806	27.870	-6763879
75	2	13	652	442	23.255	15.504	-13603493
76	2	14	664	308	45.608	30.405	-13819048
77	2	15	643	259	18.072	12.048	-14999993
78	2	16	656	257	4.459	2.973	-12175528
79	2	17	660	243	4.936	3.291	-4275032
80	2	18	698	199	19.709	13.139	-8073549
81	2	19	750	134	28.219	18.812	-6778521
82	2	20	817	54	35.375	23.583	-11064761
83	2	21	909	12	34.284	22.856	-6895944
84	2	22	1031	23	41.526	27.684	-4078942
85	2	23	1119	85	36.493	24.328	-3872797
86	2	24	1180	171	35.743	23.829	-13882585
87	2	25	1230	268	36.995	24.663	-7420498
88	2	26	1249	375	36.840	24.560	-11029103
89	2	27	1270	486	38.296	25.531	-9212326
90	2	28	1241	576	32.055	21.370	-10733702
91	2	29	1241	595	6.441	4.294	-3176278
92	2	30	1253	618	8.794	5.863	-13751749
93	2	31	1239	731	38.600	25.733	-11116960
94	2	32	1222	817	29.718	19.812	-13814991
95	2	33	1218	847	10.260	6.840	-13551793
96	2	34	1222	872	8.583	5.722	-11262647
97	2	35	1239	974	35.055	23.370	-15063502
98	2	36	1249	1079	35.756	23.837	-14527682
99	2	37	1245	1174	32.234	21.489	-15060176
100	2	38	1228	1278	35.724	23.816	-10395787
101	2	39	1174	1394	43.376	28.917	-7434849
102	2	40	1153	1501	36.965	24.643	-13033684
103	2	41	1123	1591	32.160	21.440	-16435143
104	2	42	1100	1643	19.275	12.850	-9727620
105	2	43	1100	1731	29.832	19.888	-13295828
106	2	44	1062	1748	14.112	9.408	-15388379
107	2	45	1016	1775	18.082	12.055	-9937040
108	2	46	1037	1859	29.352	19.568	-12636057
109	2	47	1002	1884	14.581	9.721	-13536911
110	2	48	949	1847	21.912	14.608	-13886924
111	2	49	826	1807	43.846	29.231	-11980463
112	2	50	754	1765	28.257	18.838	-11310242
113	2	51	702	1689	31.217	20.812	-13609650
114	2	52	666	1589	36.030	24.020	-13080749
115	2	53	675	1555	11.923	7.949	-12421788
116	2	54	712	1463	33.616	22.410	-14862287
117	2	55	813	1400	40.354	26.903	-8356749
118	2	56	905	1390	31.372	20.914	-12965834
119	2	57	970	1383	22.162	14.775	-14720144
120	2	58	981	1387	3.968	2.645	-13021850
121	2	59	1002	1387	7.119	4.746	-15062239
122	2	60	1075	1377	24.978	16.652	-14663116
123	2	61	1094	1394	8.643	5.762	-15319995
124	2	62	1107	1404	5.560	3.707	-12697047
126	3	64	1163	1473	2.445	1.630	-9010795
127	3	65	1165	1469	1.516	1.011	-8880229
128	3	66	1167	1463	2.144	1.429	-9271147
129	3	67	1167	1463	0.000	0.000	-8685419
130	3	68	1167	1463	0.000	0.000	-9272427
131	3	69	1167	1467	1.356	0.904	-9665653
132	3	70	1165	1467	0.678	0.452	-8222321
133	3	71	1115	1494	19.263	12.842	-7892582
