ID	Track	Slice	X	Y	Distance	Velocity	PixelValue
2	1	2	639	1140	3.790	2.527	-8092783
3	1	3	626	1138	4.459	2.973	-7895410
4	1	4	626	1138	0.000	0.000	-8617595
5	1	5	626	1130	2.712	1.808	-8092013
6	1	6	626	1117	4.407	2.938	-8289909
7	1	7	626	1100	5.763	3.842	-8223346
8	1	8	624	1002	33.229	22.153	-8484475
9	1	9	587	905	35.194	23.463	-8353907
10	1	10	591	857	16.328	10.886	-8683399
11	1	11	587	859	1.516	1.011	-9078395
12	1	12	587	859	0.000	0.000	-8876654
13	1	13	587	859	0.000	0.000	-9800828
14	1	14	587	868	3.051	2.034	-9406842
15	1	15	524	750	45.346	30.231	-9074807
16	1	16	507	691	20.815	13.876	-9009530
17	1	17	519	681	5.295	3.530	-9009515
18	1	18	522	691	3.539	2.360	-10191744
19	1	19	561	679	13.833	9.222	-9272936
20	1	20	540	683	7.247	4.831	-9994620
21	1	21	545	681	1.826	1.217	-9731185
22	1	22	568	689	8.255	5.503	-9208679
23	1	23	616	693	16.328	10.886	-9995386
24	1	24	746	729	45.729	30.486	-9729906
25	1	25	807	777	26.313	17.542	-9469806
26	1	26	828	809	12.975	8.650	-9995123
27	1	27	897	899	38.445	25.630	-9600104
28	1	28	970	1023	48.779	32.520	-10126198
29	1	29	1037	1132	43.373	28.916	-10060916
30	1	30	1111	1100	27.331	18.221	-9797756
31	1	31	1132	1073	11.596	7.730	-9141100
32	1	32	1130	1060	4.459	2.973	-9665667
33	1	33	1159	1069	10.294	6.862	-9339752
34	1	34	1161	1048	7.151	4.767	-9468525
35	1	35	1102	1006	24.551	16.367	-11309467
36	1	36	1100	1029	7.826	5.218	-9606523
37	1	37	1140	1073	20.158	13.439	-9340012
38	1	38	1115	1081	8.898	5.932	-9600112
39	1	39	1113	1071	3.457	2.305	-9207410
40	1	40	1092	1033	14.718	9.812	-9995899
41	1	41	1075	1008	10.249	6.833	-9536629
42	1	42	1039	1002	12.372	8.248	-9209455
43	1	43	991	1002	16.272	10.848	-9667444
44	1	44	995	1004	1.516	1.011	-9405553
45	1	45	1016	991	8.373	5.582	-9800048
46	1	46	1012	1000	3.339	2.226	-9469804
47	1	47	1018	1000	2.034	1.356	-9601644
48	1	48	1010	1004	3.032	2.021	-10324084
49	1	49	1021	1006	3.790	2.527	-10390910
50	1	50	1012	1006	3.051	2.034	-9930098
51	1	51	1021	989	6.521	4.347	-9666158
52	1	52	1018	983	2.274	1.516	-9601634
53	1	53	1014	983	1.356	0.904	-9535597
54	1	54	1010	981	1.516	1.011	-9601903
55	1	55	1002	974	3.604	2.402	-9273454
56	1	56	1025	985	8.643	5.762	-9928566
57	1	57	981	1027	20.621	13.747	-9537911
58	1	58	958	1039	8.794	5.863	-9273454
59	1	59	964	1096	19.430	12.953	-9736051
60	1	60	979	1123	10.471	6.980	-9799033
61	1	61	974	1100	7.979	5.319	-9733732
62	1	62	964	1086	5.832	3.888	-10191989
63	1	63	962	1060	8.840	5.893	-9996150
64	1	64	964	1083	7.826	5.218	-9732216
65	1	65	981	1081	5.803	3.868	-9930607
66	1	66	1008	1018	23.236	15.490	-9800050
67	1	67	1039	981	16.364	10.909	-9405551
68	1	68	1025	989	5.466	3.644	-9604724
69	1	69	1014	993	3.968	2.645	-10262153
70	1	70	1018	995	1.516	1.011	-9536110
71	1	71	993	1033	15.420	10.280	-10063483
72	1	72	987	1035	2.144	1.429	-9799280
73	1	73	1006	1016	9.109	6.073	-10456448
74	1	74	1004	1023	2.468	1.645	-9733741
75	1	75	1002	1033	3.457	2.305	-10194292
76	1	76	1010	1042	4.082	2.721	-9732739
77	1	77	1021	1046	3.968	2.645	-9866094
78	1	78	1004	1037	6.521	4.347	-10061166
79	1	79	1004	1035	0.678	0.452	-10259324
80	1	80	1002	1031	1.516	1.011	-10191999
81	1	81	1006	1037	2.445	1.630	-9929330
82	1	82	1012	1031	2.877	1.918	-9864564
83	1	83	1033	1033	7.151	4.767	-10192765
84	1	84	1021	1037	4.288	2.859	-10588546
85	1	85	1012	1033	3.339	2.226	-9798009
86	1	86	1008	1033	1.356	0.904	-10391686
87	1	87	1000	1033	2.712	1.808	-10388612
88	1	88	1012	1046	5.998	3.998	-10785658
89	1	89	1012	1046	0.000	0.000	-10128247
90	1	90	1012	1046	0.000	0.000	-10916215
91	1	91	1008	1044	1.516	1.011	-10782604
92	1	92	1008	1044	0.000	0.000	-10847877
93	1	93	1004	1039	2.171	1.447	-11114631
94	1	94	1008	1039	1.356	0.904	-11180937
95	1	95	995	1035	4.611	3.074	-9998195
96	1	96	1000	1048	4.722	3.148	-10455688
97	1	97	991	1048	3.051	2.034	-10323575
98	1	98	989	1048	0.678	0.452	-10782856
99	1	99	989	1046	0.678	0.452	-10390128
100	1	100	991	1042	1.516	1.011	-10918792
101	1	101	1004	1050	5.175	3.450	-10848898
103	2	2	628	1228	3.865	2.577	-8421264
104	2	3	622	1224	2.445	1.630	-9146242
105	2	4	610	1226	4.124	2.749	-9340048
106	2	5	614	1222	1.918	1.278	-9470612
107	2	6	612	1211	3.790	2.527	-9536403
108	2	7	620	1197	5.466	3.644	-8813203
109	2	8	618	1094	34.924	23.282	-9076361
110	2	9	591	993	35.441	23.628	-9666190
111	2	10	608	933	21.141	14.094	-9667738
113	2	11	603	935	0.678	0.452	-9075336
114	2	12	603	937	0.678	0.452	-9469316
115	2	13	599	939	1.516	1.011	-10197407
116	2	14	605	939	2.034	1.356	-10588313
117	2	15	563	840	36.456	24.304	-10461080
118	2	16	547	769	24.673	16.448	-8549760
119	2	17	536	763	4.248	2.832	-9271937
120	2	18	536	765	0.678	0.452	-9276038
121	2	19	536	763	0.678	0.452	-9798554
122	2	20	536	763	0.000	0.000	-10456727
123	2	21	528	765	2.795	1.864	-10718618
124	2	22	526	756	3.125	2.084	-10061451
125	2	23	545	721	13.501	9.000	-10260888
126	2	24	673	721	43.392	28.928	-9798277
127	2	25	752	733	27.088	18.059	-9797758
128	2	26	769	763	11.689	7.793	-9666441
129	2	27	849	836	36.714	24.476	-9930383
130	2	28	922	951	46.176	30.784	-10126972
131	2	29	995	1056	43.352	28.902	-9996178
132	2	30	1023	1088	14.414	9.610	-9868173
133	2	31	1044	1081	7.504	5.003	-9995656
134	2	32	1050	1081	2.034	1.356	-10652826
135	2	33	1058	1079	2.795	1.864	-10719383
136	2	34	1090	1081	10.869	7.246	-10128024
137	2	35	1079	1071	5.040	3.360	-9996703
138	2	36	1048	1071	10.509	7.006	-10325391
139	2	37	1056	1077	3.390	2.260	-10322321
140	2	38	1044	1090	5.998	3.998	-9730431
141	2	39	1046	1083	2.468	1.645	-9998217
142	2	40	1046	1083	0.000	0.000	-10517906
143	2	41	1054	1079	3.032	2.021	-10458758
144	2	42	1050	1077	1.516	1.011	-9599124
145	2	43	1039	1075	3.790	2.527	-10922401
146	2	44	1039	1075	0.000	0.000	-10122631
147	2	45	1052	1077	4.459	2.973	-10587546
148	2	46	1056	1081	1.918	1.278	-9729667
149	2	47	1056	1081	0.000	0.000	-9532035
150	2	48	1048	1086	3.198	2.132	-10520212
151	2	49	1048	1086	0.000	0.000	-13548212
152	2	50	1042	1083	2.274	1.516	-11376792
153	2	51	1048	1075	3.390	2.260	-10527124
154	2	52	1048	1075	0.000	0.000	-10911118
155	2	53	1042	1081	2.877	1.918	-10584974
156	2	54	1048	1083	2.144	1.429	-12164524
157	2	55	1046	1075	2.795	1.864	-10124425
158	2	56	1044	1075	0.678	0.452	-12233898
159	2	57	1037	1090	5.611	3.741	-11119518
160	2	58	1031	1090	2.034	1.356	-11838632
161	2	59	1033	1092	0.959	0.639	-10922139
162	2	60	1039	1086	2.877	1.918	-10594707
163	2	61	1050	1083	3.865	2.577	-11771296
164	2	62	1056	1083	2.034	1.356	-11382691
165	2	63	1052	1086	1.695	1.130	-13225144
166	2	64	1048	1088	1.516	1.011	-12769199
167	2	65	1052	1081	2.733	1.822	-11184284
168	2	66	1050	1081	0.678	0.452	-11376010
169	2	67	1039	1073	4.611	3.074	-11310478
170	2	68	1048	1079	3.667	2.445	-11044753
171	2	69	1039	1077	3.125	2.084	-9939872
172	2	70	1046	1079	2.468	1.645	-11580572
173	2	71	1044	1079	0.678	0.452	-9799575
174	2	72	1039	1081	1.826	1.217	-12295590
175	2	73	1044	1090	3.490	2.327	-11051687
176	2	74	1042	1100	3.457	2.305	-10000799
177	2	75	1050	1109	4.082	2.721	-11972015
178	2	76	1050	1109	0.000	0.000	-11057059
179	2	77	1054	1115	2.445	1.630	-11110809
180	2	78	1042	1111	4.288	2.859	-11638681
181	2	79	1037	1102	3.490	2.327	-11506076
182	2	80	1033	1109	2.733	1.822	-10784152
183	2	81	1044	1113	3.968	2.645	-12229797
184	2	82	1027	1104	6.521	4.347	-11572120
185	2	83	1027	1104	0.000	0.000	-12501933
186	2	84	1027	1104	0.000	0.000	-11639974
187	2	85	1012	1113	5.930	3.953	-12763566
188	2	86	1010	1109	1.516	1.011	-12033965
189	2	87	1014	1111	1.516	1.011	-12360613
190	2	88	1004	1113	3.457	2.305	-11836070
191	2	89	1008	1119	2.445	1.630	-11439259
192	2	90	1006	1121	0.959	0.639	-9934207
193	2	91	1014	1115	3.390	2.260	-10589324
194	2	92	1010	1115	1.356	0.904	-11244953
195	2	93	1018	1115	2.712	1.808	-10921112
196	2	94	1014	1115	1.356	0.904	-11840413
197	2	95	1014	1113	0.678	0.452	-10459546
198	2	96	1010	1117	1.918	1.278	-11711907
199	2	97	1012	1117	0.678	0.452	-10131086
200	2	98	1010	1113	1.516	1.011	-11441829
201	2	99	1014	1111	1.516	1.011	-11634841
202	2	100	1010	1117	2.445	1.630	-11375771
203	2	101	1006	1117	1.356	0.904	-10588060
205	3	103	1025	1060	40.863	27.242	-10455674
206	3	104	964	1088	22.753	15.169	-11442318
207	3	105	979	1216	43.689	29.126	-10519933
208	3	106	907	1255	27.759	18.506	-10784639
209	3	107	905	1262	2.468	1.645	-11241857
210	3	108	914	1249	5.360	3.573	-10520449
211	3	109	849	1289	25.873	17.249	-10653053
212	3	110	807	1274	15.119	10.079	-11113089
213	3	111	844	1287	13.295	8.863	-10716793
214	3	112	811	1276	11.792	7.861	-10193278
215	3	113	811	1278	0.678	0.452	-11048325
216	3	114	786	1241	15.138	10.092	-10520451
217	3	115	784	1230	3.790	2.527	-10456951
218	3	116	786	1205	8.502	5.668	-10390144
219	3	117	800	1186	8.001	5.334	-10981780
220	3	118	782	1195	6.822	4.548	-10719096
221	3	119	779	1203	2.896	1.931	-10059649
222	3	120	786	1197	3.125	2.084	-10587787
223	3	121	796	1190	4.138	2.759	-10587272
224	3	122	788	1192	2.795	1.864	-10126972
225	3	123	790	1184	2.795	1.864	-10587274
226	3	124	813	1163	10.558	7.039	-10980486
227	3	125	784	1174	10.514	7.010	-10324086
228	3	126	784	1226	17.628	11.752	-11046528
229	3	127	788	1197	9.924	6.616	-10915720
230	3	128	788	1197	0.000	0.000	-10389630
231	3	129	788	1197	0.000	0.000	-10455163
232	3	130	788	1197	0.000	0.000	-10913921
233	3	131	782	1226	10.039	6.693	-10128512
234	3	132	817	1157	26.228	17.485	-10718585
235	3	133	840	1117	15.642	10.428	-10259831
236	3	134	819	1144	11.596	7.730	-10456693
237	3	135	821	1142	0.959	0.639	-9666926
238	3	136	823	1132	3.457	2.305	-10259572
239	3	137	817	1148	5.793	3.862	-10785153
240	3	138	817	1153	1.695	1.130	-10651772
241	3	139	821	1138	5.263	3.508	-10456693
242	3	140	821	1127	3.729	2.486	-9864564
243	3	141	821	1113	4.746	3.164	-10388612
244	3	142	819	1104	3.125	2.084	-9668222
245	3	143	819	1104	0.000	0.000	-10452349
246	3	144	819	1104	0.000	0.000	-10322805
247	3	145	815	1104	1.356	0.904	-10651010
248	3	146	821	1100	2.445	1.630	-11045768
249	3	147	826	1086	5.040	3.360	-10390397
250	3	148	823	1086	1.017	0.678	-9533814
251	3	149	828	1075	4.096	2.731	-9338479
252	3	150	826	1079	1.516	1.011	-10651533
253	3	151	819	1086	3.356	2.237	-10390657
254	3	152	823	1077	3.339	2.226	-10718068
256	5	103	1000	1119	7.435	4.957	-12172450
257	5	104	1016	1113	5.793	3.862	-12564900
258	5	105	1016	1140	9.153	6.102	-14271917
259	5	106	1008	1142	2.795	1.864	-9861241
260	5	107	1000	1148	3.390	2.260	-12494241
261	5	108	1012	1144	4.288	2.859	-10789016
262	5	109	1014	1148	1.516	1.011	-12298145
263	5	110	1014	1153	1.695	1.130	-11122842
264	5	111	1016	1148	1.826	1.217	-8881270
265	5	112	1014	1148	0.678	0.452	-10395788
