ID	Track	Slice	X	Y	Distance	Velocity	PixelValue
2	1	2	1249	1866	6.369	4.246	-10524032
3	1	3	1291	1859	14.434	9.623	-9470592
4	1	4	1325	1845	12.465	8.310	-8551787
5	1	5	1375	1840	17.035	11.356	-8880492
6	1	6	1394	1803	14.100	9.400	-8552803
7	1	7	1427	1767	16.556	11.037	-10786175
8	1	8	1461	1725	18.319	12.212	-9671037
9	1	9	1505	1679	21.579	14.386	-9601143
10	1	10	1549	1633	21.579	14.386	-10193537
11	1	11	1593	1582	22.834	15.223	-9867646
12	1	12	1618	1524	21.411	14.274	-9535849
13	1	13	1643	1471	19.866	13.244	-8421481
14	1	14	1671	1413	21.833	14.556	-8289634
15	1	15	1685	1379	12.465	8.310	-11045517
16	1	16	1691	1367	4.548	3.032	-9075333
17	1	17	1702	1339	10.198	6.799	-9010793
18	1	18	1717	1295	15.759	10.506	-8619384
19	1	19	1723	1213	27.872	18.582	-10127726
20	1	20	1740	1157	19.839	13.226	-8419159
21	1	21	1777	1113	19.489	12.993	-8416117
22	1	22	1826	1067	22.784	15.189	-7365193
23	1	23	1861	1010	22.675	15.117	-8615804
24	1	24	1907	989	17.142	11.428	-9211009
25	1	25	1947	979	13.977	9.318	-11640985
26	1	26	1970	970	8.373	5.582	-11905954
27	1	27	1983	958	5.998	3.998	-10650755
28	1	28	2008	972	9.713	6.476	-11513501
29	1	29	2023	993	8.749	5.832	-11377311
30	1	30	2027	991	1.516	1.011	-12364204
31	1	31	2042	1010	8.206	5.471	-11249826
32	1	32	2058	1023	6.989	4.659	-12691118
33	1	33	2071	1029	4.854	3.236	-11372439
34	1	34	2086	1033	5.263	3.508	-12431782
35	1	35	2096	1048	6.111	4.074	-12430517
36	1	36	2136	1083	18.018	12.012	-11706266
37	1	37	2165	1113	14.145	9.430	-11774377
38	1	38	2188	1151	15.058	10.039	-11446695
39	1	39	2197	1172	7.745	5.163	-10529953
41	2	2	1209	1897	4.854	3.236	-8280679
42	2	3	1243	1874	13.916	9.277	-8610933
43	2	4	1283	1861	14.258	9.505	-11972520
44	2	5	1325	1840	15.919	10.612	-11964055
45	2	6	1350	1819	11.068	7.379	-12894102
46	2	7	1377	1796	12.024	8.016	-13090500
47	2	8	1423	1756	20.665	13.777	-11575180
48	2	9	1459	1710	19.802	13.201	-13615043
49	2	10	1515	1668	23.730	15.820	-7833978
50	2	11	1561	1620	22.538	15.025	-9529202
51	2	12	1593	1570	20.124	13.416	-9866382
52	2	13	1618	1515	20.481	13.654	-11974317
53	2	14	1654	1461	22.001	14.667	-9938345
54	2	15	1668	1427	12.465	8.310	-10129554
55	2	16	1677	1413	5.642	3.761	-11052696
56	2	17	1687	1385	10.079	6.719	-12562363
57	2	18	1700	1335	17.514	11.676	-9923964
58	2	19	1715	1266	23.937	15.958	-11309718
59	2	20	1725	1203	21.624	14.416	-11303055
60	2	21	1754	1153	19.595	13.063	-8554382
61	2	22	1794	1104	21.443	14.295	-7891846
62	2	23	1842	1052	23.990	15.993	-11979709
63	2	24	1868	1014	15.609	10.406	-9128804
64	2	25	1905	995	14.100	9.400	-15583187
65	2	26	1926	987	7.618	5.079	-10058371
66	2	27	1943	979	6.369	4.246	-11123130
67	2	28	1962	981	6.477	4.318	-10921128
68	2	29	1972	981	3.390	2.260	-13878213
69	2	30	1970	977	1.516	1.011	-14988207
70	2	31	1985	981	5.263	3.508	-8947588
71	2	32	2002	995	7.466	4.977	-14535087
72	2	33	2021	1008	7.804	5.203	-13484217
73	2	34	2035	1021	6.477	4.318	-12305588
74	2	35	2054	1025	6.582	4.388	-12245700
75	2	36	2096	1056	17.696	11.798	-10845064
76	2	37	2130	1086	15.371	10.248	-10459797
77	2	38	2161	1115	14.391	9.594	-16245474
78	2	39	2174	1136	8.373	5.582	-11182778
80	3	41	2188	1224	9.153	6.102	-13617610
81	3	42	2226	1241	14.112	9.408	-12698810
82	3	43	2266	1241	13.560	9.040	-8878984
83	3	44	2289	1232	8.373	5.582	-10057339
84	3	45	2295	1224	3.390	2.260	-9939344
85	3	46	2306	1218	4.248	2.832	-9665931
86	3	47	2304	1224	2.144	1.429	-11435924
87	3	48	2306	1222	0.959	0.639	-7698283
88	3	49	2306	1226	1.356	0.904	-6379099
89	3	50	2304	1224	0.959	0.639	-12698289
90	3	51	2304	1220	1.356	0.904	-13940148
91	3	52	2297	1218	2.468	1.645	-13487057
92	3	53	2295	1224	2.144	1.429	-14206410
93	3	54	2295	1220	1.356	0.904	-14403270
94	3	55	2306	1224	3.968	2.645	-13681861
95	3	56	2304	1218	2.144	1.429	-9403545
96	3	57	2306	1220	0.959	0.639	-12236986
97	3	58	2304	1222	0.959	0.639	-10259623
98	3	59	2304	1224	0.678	0.452	-13284282
99	3	60	2306	1224	0.678	0.452	-8678523
100	3	61	2302	1218	2.445	1.630	-8087148
101	3	62	2306	1232	4.936	3.291	-13813936
102	3	63	2310	1228	1.918	1.278	-10315901
103	3	64	2312	1222	2.144	1.429	-12231596
104	3	65	2314	1222	0.678	0.452	-12303015
105	3	66	2314	1224	0.678	0.452	-12900280
106	3	67	2314	1226	0.678	0.452	-3350062
107	3	68	2314	1228	0.678	0.452	-13420494
108	3	69	2314	1226	0.678	0.452	-13087667
109	3	70	2316	1224	0.959	0.639	-8750494
110	3	71	2316	1224	0.000	0.000	-8024742
111	3	72	2314	1224	0.678	0.452	-8416903
112	3	73	2316	1220	1.516	1.011	-4732485
113	3	74	2316	1218	0.678	0.452	-3808796
114	3	75	2318	1216	0.959	0.639	-9544303
116	5	41	2170	1146	2.795	1.864	-13285306
117	5	42	2174	1155	3.339	2.226	-15190463
118	5	43	2172	1153	0.959	0.639	-12502454
119	5	44	2174	1157	1.516	1.011	-15437198
120	5	45	2174	1159	0.678	0.452	-13210539
121	5	46	2176	1157	0.959	0.639	-12295821
122	5	47	2178	1161	1.516	1.011	-7954535
123	5	48	2184	1163	2.144	1.429	-9027745
124	5	49	2186	1161	0.959	0.639	-13815992
125	5	50	2186	1165	1.356	0.904	-14269372
126	5	51	2186	1174	3.051	2.034	-7956601
127	5	52	2188	1180	2.144	1.429	-10918015
128	5	53	2184	1176	1.918	1.278	-11768725
129	5	54	2199	1195	8.206	5.471	-12242628
130	5	55	2214	1201	5.477	3.651	-8087152
131	5	56	2232	1201	6.102	4.068	-14858927
132	5	57	2243	1195	4.248	2.832	-11518907
133	5	58	2243	1192	1.017	0.678	-14586767
134	5	59	2245	1195	1.222	0.815	-12767156
