"","X.1","ID","Track","Slice","X","Y","Distance","Velocity","PixelValue","TrackNumber","Concatenated"
"4477",1,2,"Head Before",2,423.411,18.645,6.369,4.246,-10524032,512,"Head Before 512"
"4478",2,3,"Head Before",3,437.649,21.018,14.434,9.623,-9470592,512,"Head Before 512"
"4479",3,4,"Head Before",4,449.175,25.764,12.465,8.31,-8551787,512,"Head Before 512"
"4480",4,5,"Head Before",5,466.125,27.459,17.035,11.356,-8880492,512,"Head Before 512"
"4481",5,6,"Head Before",6,472.566,40.002,14.1,9.4,-8552803,512,"Head Before 512"
"4482",6,7,"Head Before",7,483.753,52.206,16.556,11.037,-10786175,512,"Head Before 512"
"4483",7,8,"Head Before",8,495.279,66.444,18.319,12.212,-9671037,512,"Head Before 512"
"4484",8,9,"Head Before",9,510.195,82.038,21.579,14.386,-9601143,512,"Head Before 512"
"4485",9,10,"Head Before",10,525.111,97.632,21.579,14.386,-10193537,512,"Head Before 512"
"4486",10,11,"Head Before",11,540.027,114.921,22.834,15.223,-9867646,512,"Head Before 512"
"4487",11,12,"Head Before",12,548.502,134.583,21.411,14.274,-9535849,512,"Head Before 512"
"4488",12,13,"Head Before",13,556.977,152.55,19.866,13.244,-8421481,512,"Head Before 512"
"4489",13,14,"Head Before",14,566.469,172.212,21.833,14.556,-8289634,512,"Head Before 512"
"4490",14,15,"Head Before",15,571.215,183.738,12.465,8.31,-11045517,512,"Head Before 512"
"4491",15,16,"Head Before",16,573.249,187.806,4.548,3.032,-9075333,512,"Head Before 512"
"4492",16,17,"Head Before",17,576.978,197.298,10.198,6.799,-9010793,512,"Head Before 512"
"4493",17,18,"Head Before",18,582.063,212.214,15.759,10.506,-8619384,512,"Head Before 512"
"4494",18,19,"Head Before",19,584.097,240.012,27.872,18.582,-10127726,512,"Head Before 512"
"4495",19,20,"Head Before",20,589.86,258.996,19.839,13.226,-8419159,512,"Head Before 512"
"4496",20,21,"Head Before",21,602.403,273.912,19.489,12.993,-8416117,512,"Head Before 512"
"4497",21,22,"Head Before",22,619.014,289.506,22.784,15.189,-7365193,512,"Head Before 512"
"4498",22,23,"Head Before",23,630.879,308.829,22.675,15.117,-8615804,512,"Head Before 512"
"4499",23,24,"Head Before",24,646.473,315.948,17.142,11.428,-9211009,512,"Head Before 512"
"4500",24,25,"Head Before",25,660.033,319.338,13.977,9.318,-11640985,512,"Head Before 512"
"4501",25,26,"Head Before",26,667.83,322.389,8.373,5.582,-11905954,512,"Head Before 512"
"4502",26,27,"Head Before",27,672.237,326.457,5.998,3.998,-10650755,512,"Head Before 512"
"4503",27,28,"Head Before",28,680.712,321.711,9.713,6.476,-11513501,512,"Head Before 512"
"4504",28,29,"Head Before",29,685.797,314.592,8.749,5.832,-11377311,512,"Head Before 512"
"4505",29,30,"Head Before",30,687.153,315.27,1.516,1.011,-12364204,512,"Head Before 512"
"4506",30,31,"Head Before",31,692.238,308.829,8.206,5.471,-11249826,512,"Head Before 512"
"4507",31,32,"Head Before",32,697.662,304.422,6.989,4.659,-12691118,512,"Head Before 512"
"4508",32,33,"Head Before",33,702.069,302.388,4.854,3.236,-11372439,512,"Head Before 512"
"4509",33,34,"Head Before",34,707.154,301.032,5.263,3.508,-12431782,512,"Head Before 512"
"4510",34,35,"Head Before",35,710.544,295.947,6.111,4.074,-12430517,512,"Head Before 512"
"4511",35,36,"Head Before",36,724.104,284.082,18.018,12.012,-11706266,512,"Head Before 512"
"4512",36,37,"Head Before",37,733.935,273.912,14.145,9.43,-11774377,512,"Head Before 512"
"4513",37,38,"Head Before",38,741.732,261.03,15.058,10.039,-11446695,512,"Head Before 512"
"4514",38,39,"Head Before",39,744.783,253.911,7.745,5.163,-10529953,512,"Head Before 512"
"4515",39,41,"Tail Before",2,409.851,8.136,4.854,3.236,-8280679,512,"Tail Before 512"
"4516",40,42,"Tail Before",3,421.377,15.933,13.916,9.277,-8610933,512,"Tail Before 512"
"4517",41,43,"Tail Before",4,434.937,20.34,14.258,9.505,-11972520,512,"Tail Before 512"
"4518",42,44,"Tail Before",5,449.175,27.459,15.919,10.612,-11964055,512,"Tail Before 512"
"4519",43,45,"Tail Before",6,457.65,34.578,11.068,7.379,-12894102,512,"Tail Before 512"
"4520",44,46,"Tail Before",7,466.803,42.375,12.024,8.016,-13090500,512,"Tail Before 512"
"4521",45,47,"Tail Before",8,482.397,55.935,20.665,13.777,-11575180,512,"Tail Before 512"
"4522",46,48,"Tail Before",9,494.601,71.529,19.802,13.201,-13615043,512,"Tail Before 512"
