"","X.1","ID","Track","Slice","X","Y","Distance","Velocity","PixelValue","TrackNumber","Concatenated"
"1",1,2,"Head Before",2,33.222,433.92,10.704,7.136,-9010797,221,"Head Before 221"
"2",2,3,"Head Before",3,45.426,411.885,25.189,16.793,-9140598,221,"Head Before 221"
"3",3,4,"Head Before",4,45.426,413.919,2.034,1.356,-9074284,221,"Head Before 221"
"4",4,5,"Head Before",5,38.307,411.885,7.404,4.936,-8551022,221,"Head Before 221"
"5",5,6,"Head Before",6,54.579,411.207,16.286,10.857,-8288365,221,"Head Before 221"
"6",6,7,"Head Before",7,72.207,405.444,18.546,12.364,-8877169,221,"Head Before 221"
"7",7,8,"Head Before",8,105.09,402.054,33.057,22.038,-8878706,221,"Head Before 221"
"8",8,9,"Head Before",9,134.922,419.004,34.311,22.874,-8417906,221,"Head Before 221"
"9",9,10,"Head Before",10,134.244,435.954,16.964,11.309,-8088939,221,"Head Before 221"
"10",10,11,"Head Before",11,147.804,443.073,15.315,10.21,-8878445,221,"Head Before 221"
"11",11,12,"Head Before",12,148.482,464.43,21.368,14.245,-9406595,221,"Head Before 221"
"12",12,13,"Head Before",13,155.601,485.109,21.87,14.58,-8681830,221,"Head Before 221"
"13",13,14,"Head Before",14,162.042,518.331,33.841,22.56,-8747113,221,"Head Before 221"
"14",14,15,"Head Before",15,164.754,523.416,5.763,3.842,-9273967,221,"Head Before 221"
"15",15,16,"Head Before",16,165.432,524.094,0.959,0.639,-8615527,221,"Head Before 221"
"16",16,17,"Head Before",17,171.195,531.213,9.159,6.106,-8942700,221,"Head Before 221"
"17",17,18,"Head Before",18,175.941,536.976,7.466,4.977,-9800052,221,"Head Before 221"
"18",18,19,"Head Before",19,182.382,540.366,7.279,4.852,-8614759,221,"Head Before 221"
"19",19,20,"Head Before",20,190.857,544.095,9.259,6.173,-8090471,221,"Head Before 221"
"20",20,21,"Head Before",21,201.027,554.604,14.624,9.749,-9534321,221,"Head Before 221"
"21",21,22,"Head Before",22,200.349,555.282,0.959,0.639,-8614256,221,"Head Before 221"
"22",22,23,"Head Before",23,199.671,554.604,0.959,0.639,-8943737,221,"Head Before 221"
"23",23,24,"Head Before",24,197.298,554.604,2.373,1.582,-8350825,221,"Head Before 221"
"24",24,25,"Head Before",25,203.061,559.011,7.255,4.837,-8614507,221,"Head Before 221"
"25",25,26,"Head Before",26,201.705,556.299,3.032,2.021,-7892582,221,"Head Before 221"
"26",26,27,"Head Before",27,198.993,554.604,3.198,2.132,-8482409,221,"Head Before 221"
"27",27,29,"Tail Before",2,11.865,428.835,15.653,10.435,-11967654,221,"Tail Before 221"
"28",28,30,"Tail Before",3,24.747,420.36,15.42,10.28,-12237989,221,"Tail Before 221"
"29",29,31,"Tail Before",4,22.713,417.648,3.39,2.26,-9206144,221,"Tail Before 221"
"30",30,32,"Tail Before",5,18.984,419.004,3.968,2.645,-10520462,221,"Tail Before 221"
"31",31,33,"Tail Before",6,31.866,416.292,13.164,8.776,-11111320,221,"Tail Before 221"
"32",32,34,"Tail Before",7,50.172,409.173,19.642,13.094,-11641514,221,"Tail Before 221"
"33",33,35,"Tail Before",8,83.055,405.444,33.094,22.063,-10847633,221,"Tail Before 221"
"34",34,36,"Tail Before",9,118.65,404.766,35.601,23.734,-11582114,221,"Tail Before 221"
"35",35,37,"Tail Before",10,127.125,418.326,15.991,10.66,-11385763,221,"Tail Before 221"
"36",36,38,"Tail Before",11,134.244,427.479,11.596,7.73,-11844773,221,"Tail Before 221"
"37",37,39,"Tail Before",12,146.109,443.073,19.595,13.063,-11320231,221,"Tail Before 221"
"38",38,40,"Tail Before",13,166.788,465.108,30.219,20.146,-9079445,221,"Tail Before 221"
"39",39,41,"Tail Before",14,158.991,497.313,33.135,22.09,-10462604,221,"Tail Before 221"
"40",40,42,"Tail Before",15,152.55,506.466,11.192,7.461,-11119782,221,"Tail Before 221"
"41",41,43,"Tail Before",16,153.906,507.144,1.516,1.011,-10334892,221,"Tail Before 221"
"42",42,44,"Tail Before",17,154.923,516.975,9.883,6.589,-9215122,221,"Tail Before 221"
"43",43,45,"Tail Before",18,159.669,521.382,6.477,4.318,-10389897,221,"Tail Before 221"
"44",44,46,"Tail Before",19,164.076,524.094,5.175,3.45,-10595998,221,"Tail Before 221"
"45",45,47,"Tail Before",20,171.195,531.891,10.558,7.039,-7760501,221,"Tail Before 221"
"46",46,48,"Tail Before",21,181.026,542.061,14.145,9.43,-10982301,221,"Tail Before 221"
"47",47,49,"Tail Before",22,181.026,542.739,0.678,0.452,-12041134,221,"Tail Before 221"
"48",48,50,"Tail Before",23,177.636,544.773,3.953,2.636,-10134685,221,"Tail Before 221"
"49",49,51,"Tail Before",24,177.636,544.095,0.678,0.452,-8624775,221,"Tail Before 221"
