"","X.1","ID","Track","Slice","X","Y","Distance","Velocity","PixelValue","TrackNumber","Concatenated"
"4243",1,2,"Head Before",2,493.245,606.471,20.815,13.876,-11509664,511,"Head Before 511"
"4244",2,3,"Head Before",3,479.685,593.25,18.939,12.626,-8743286,511,"Head Before 511"
"4245",3,4,"Head Before",4,470.193,582.402,14.414,9.61,-11316646,511,"Head Before 511"
"4246",4,5,"Head Before",5,447.48,546.129,42.797,28.532,-9010033,511,"Head Before 511"
"4247",5,6,"Head Before",6,412.224,529.857,38.83,25.887,-10592915,511,"Head Before 511"
"4248",6,7,"Head Before",7,380.697,501.381,42.483,28.322,-9267045,511,"Head Before 511"
"4249",7,8,"Head Before",8,355.272,472.905,38.175,25.45,-7495522,511,"Head Before 511"
"4250",8,9,"Head Before",9,315.27,471.549,40.025,26.683,-8941150,511,"Head Before 511"
"4251",9,10,"Head Before",10,275.607,473.583,39.715,26.477,-9339247,511,"Head Before 511"
"4252",10,11,"Head Before",11,244.419,483.753,32.804,21.87,-8942698,511,"Head Before 511"
"4253",11,12,"Head Before",12,217.977,501.381,31.779,21.186,-8481379,511,"Head Before 511"
"4254",12,13,"Head Before",13,221.706,530.535,29.392,19.594,-7695436,511,"Head Before 511"
"4255",13,14,"Head Before",14,227.13,573.927,43.73,29.153,-8088916,511,"Head Before 511"
"4256",14,15,"Head Before",15,230.181,585.453,11.923,7.949,-7367261,511,"Head Before 511"
"4257",15,16,"Head Before",16,230.859,584.436,1.222,0.815,-4208184,511,"Head Before 511"
"4258",16,17,"Head Before",17,233.571,588.165,4.611,3.074,-6509936,511,"Head Before 511"
"4259",17,18,"Head Before",18,247.809,603.081,20.621,13.747,-6639692,511,"Head Before 511"
"4260",18,19,"Head Before",19,269.844,625.116,31.162,20.775,-9333339,511,"Head Before 511"
"4261",19,20,"Head Before",20,298.998,642.066,33.723,22.482,-8351315,511,"Head Before 511"
"4262",20,21,"Head Before",21,332.559,646.473,33.849,22.566,-7696970,511,"Head Before 511"
"4263",21,22,"Head Before",22,371.544,628.506,42.926,28.617,-9405545,511,"Head Before 511"
"4264",22,23,"Head Before",23,401.376,597.996,42.671,28.447,-8683373,511,"Head Before 511"
"4265",23,24,"Head Before",24,414.936,567.486,33.388,22.258,-7369828,511,"Head Before 511"
"4266",24,25,"Head Before",25,424.767,533.247,35.622,23.748,-8220769,511,"Head Before 511"
"4267",25,26,"Head Before",26,426.123,499.347,33.927,22.618,-8222051,511,"Head Before 511"
"4268",26,27,"Head Before",27,422.733,461.718,37.781,25.188,-9270897,511,"Head Before 511"
"4269",27,28,"Head Before",28,422.055,431.886,29.84,19.893,-9336956,511,"Head Before 511"
"4270",28,29,"Head Before",29,424.089,428.157,4.248,2.832,-8810595,511,"Head Before 511"
"4271",29,30,"Head Before",30,428.496,419.004,10.159,6.772,-8942711,511,"Head Before 511"
"4272",30,31,"Head Before",31,416.97,380.697,40.003,26.669,-8942449,511,"Head Before 511"
"4273",31,32,"Head Before",32,412.224,350.865,30.207,20.138,-8812138,511,"Head Before 511"
"4274",32,33,"Head Before",33,416.97,341.373,10.612,7.075,-9469547,511,"Head Before 511"
"4275",33,34,"Head Before",34,418.326,331.542,9.924,6.616,-10063222,511,"Head Before 511"
"4276",34,35,"Head Before",35,420.699,298.998,32.63,21.754,-8813414,511,"Head Before 511"
"4277",35,36,"Head Before",36,427.818,266.115,33.645,22.43,-9273207,511,"Head Before 511"
"4278",36,37,"Head Before",37,420.699,233.571,33.314,22.209,-9075310,511,"Head Before 511"
"4279",37,38,"Head Before",38,406.461,198.654,37.708,25.139,-10449520,511,"Head Before 511"
"4280",38,39,"Head Before",39,394.257,157.974,42.471,28.314,-9072218,511,"Head Before 511"
"4281",39,40,"Head Before",40,385.782,122.04,36.92,24.613,-9853539,511,"Head Before 511"
"4282",40,41,"Head Before",41,375.273,85.767,37.765,25.176,-9404773,511,"Head Before 511"
"4283",41,42,"Head Before",42,373.578,70.851,15.012,10.008,-10320739,511,"Head Before 511"
"4284",42,43,"Head Before",43,354.594,62.037,20.93,13.954,-7884869,511,"Head Before 511"
"4285",43,44,"Head Before",44,342.39,46.443,19.802,13.201,-10323835,511,"Head Before 511"
"4286",44,45,"Head Before",45,350.865,26.781,21.411,14.274,-9998709,511,"Head Before 511"
"4287",45,46,"Head Before",46,340.356,6.78,22.594,15.063,-9409393,511,"Head Before 511"
"4288",46,47,"Head Before",47,317.643,23.73,28.34,18.894,-8553306,511,"Head Before 511"
"4289",47,48,"Head Before",48,298.32,33.9,21.836,14.557,-9274996,511,"Head Before 511"
"4290",48,49,"Head Before",49,256.962,47.799,43.631,29.087,-10713470,511,"Head Before 511"
"4291",49,50,"Head Before",50,240.69,67.122,25.262,16.841,-13944015,511,"Head Before 511"
"4292",50,51,"Head Before",51,228.825,97.632,32.736,21.824,-9666633,511,"Head Before 511"
"4293",51,52,"Head Before",52,228.825,133.905,36.273,24.182,-9862005,511,"Head Before 511"
"4294",52,53,"Head Before",53,234.927,144.753,12.446,8.298,-8095574,511,"Head Before 511"
"4295",53,54,"Head Before",54,258.657,170.856,35.277,23.518,-8675938,511,"Head Before 511"
"4296",54,55,"Head Before",55,297.642,180.009,40.045,26.697,-11709348,511,"Head Before 511"
"4297",55,56,"Head Before",56,327.474,177.297,29.955,19.97,-5596204,511,"Head Before 511"
"4298",56,57,"Head Before",57,347.475,172.212,20.637,13.758,-8151151,511,"Head Before 511"
"4299",57,58,"Head Before",58,350.865,176.619,5.56,3.707,-10588573,511,"Head Before 511"
"4300",58,59,"Head Before",59,361.713,192.891,19.557,13.038,-9340489,511,"Head Before 511"
