"","X.1","ID","Track","Slice","X","Y","Distance","Velocity","PixelValue","TrackNumber","Concatenated"
"3535",1,2,"Head Before",2,583.419,583.758,25.784,17.189,-10521483,422,"Head Before 422"
"3536",2,3,"Head Before",3,568.503,563.418,25.223,16.815,-8480868,422,"Head Before 422"
"3537",3,4,"Head Before",4,555.621,541.383,25.524,17.016,-7826272,422,"Head Before 422"
"3538",4,5,"Head Before",5,547.824,507.144,35.116,23.41,-10129562,422,"Head Before 422"
"3539",5,6,"Head Before",6,538.671,487.821,21.381,14.254,-7632241,422,"Head Before 422"
"3540",6,7,"Head Before",7,526.467,471.549,20.34,13.56,-9141093,422,"Head Before 422"
"3541",7,8,"Head Before",8,510.873,450.192,26.444,17.629,-9339774,422,"Head Before 422"
"3542",8,9,"Head Before",9,492.228,448.836,18.694,12.463,-9668739,422,"Head Before 422"
"3543",9,10,"Head Before",10,488.16,452.226,5.295,3.53,-8418421,422,"Head Before 422"
"3544",10,11,"Head Before",11,486.126,450.192,2.877,1.918,-5592657,422,"Head Before 422"
"3545",11,12,"Head Before",12,481.041,450.87,5.13,3.42,-5794385,422,"Head Before 422"
"3546",12,13,"Head Before",13,479.685,449.514,1.918,1.278,-6978186,422,"Head Before 422"
"3547",13,14,"Head Before",14,474.6,448.158,5.263,3.508,-7435872,422,"Head Before 422"
"3548",14,15,"Head Before",15,468.837,450.192,6.111,4.074,-8817528,422,"Head Before 422"
"3549",15,16,"Head Before",16,468.837,450.192,0,0,-7438442,422,"Head Before 422"
"3550",16,17,"Head Before",17,468.159,449.514,0.959,0.639,-5204295,422,"Head Before 422"
"3551",17,18,"Head Before",18,464.769,452.226,4.341,2.894,-9401717,422,"Head Before 422"
"3552",18,19,"Head Before",19,464.769,455.277,3.051,2.034,-7372643,422,"Head Before 422"
"3553",19,20,"Head Before",20,464.091,450.192,5.13,3.42,-9076863,422,"Head Before 422"
"3554",20,21,"Head Before",21,466.125,451.548,2.445,1.63,-7370096,422,"Head Before 422"
"3555",21,22,"Head Before",22,463.413,451.548,2.712,1.808,-5530445,422,"Head Before 422"
"3556",22,23,"Head Before",23,460.362,450.192,3.339,2.226,-6125646,422,"Head Before 422"
"3557",23,24,"Head Before",24,463.413,451.548,3.339,2.226,-6781284,422,"Head Before 422"
"3558",24,25,"Head Before",25,461.718,453.243,2.397,1.598,-9274245,422,"Head Before 422"
"3559",25,26,"Head Before",26,464.091,454.599,2.733,1.822,-6978669,422,"Head Before 422"
"3560",26,27,"Head Before",27,463.413,453.921,0.959,0.639,-7766899,422,"Head Before 422"
"3561",27,28,"Head Before",28,461.718,455.277,2.171,1.447,-8223849,422,"Head Before 422"
"3562",28,29,"Head Before",29,459.684,457.311,2.877,1.918,-7502699,422,"Head Before 422"
"3563",29,30,"Head Before",30,461.718,456.633,2.144,1.429,-6645094,422,"Head Before 422"
"3564",30,31,"Head Before",31,462.396,456.633,0.678,0.452,-5660507,422,"Head Before 422"
"3565",31,32,"Head Before",32,461.718,455.955,0.959,0.639,-6709848,422,"Head Before 422"
"3566",32,33,"Head Before",33,461.718,455.955,0,0,-9476503,422,"Head Before 422"
"3567",33,34,"Head Before",34,457.65,455.955,4.068,2.712,-12758705,422,"Head Before 422"
"3568",34,35,"Head Before",35,459.684,454.599,2.445,1.63,-11442331,422,"Head Before 422"
"3569",35,36,"Head Before",36,461.04,455.955,1.918,1.278,-10528924,422,"Head Before 422"
"3570",36,37,"Head Before",37,460.362,455.955,0.678,0.452,-10781842,422,"Head Before 422"
"3571",37,38,"Head Before",38,463.413,455.277,3.125,2.084,-9211773,422,"Head Before 422"
"3572",38,39,"Head Before",39,461.718,455.277,1.695,1.13,-7898983,422,"Head Before 422"
"3573",39,40,"Head Before",40,461.04,457.989,2.795,1.864,-10320503,422,"Head Before 422"
"3574",40,41,"Head Before",41,464.091,453.921,5.085,3.39,-7958359,422,"Head Before 422"
"3575",41,42,"Head Before",42,462.396,452.226,2.397,1.598,-8548730,422,"Head Before 422"
"3576",42,43,"Head Before",43,461.718,454.599,2.468,1.645,-9078147,422,"Head Before 422"
"3577",43,44,"Head Before",44,461.04,450.192,4.459,2.973,-8288355,422,"Head Before 422"
"3578",44,45,"Head Before",45,463.413,451.548,2.733,1.822,-6715499,422,"Head Before 422"
"3579",45,46,"Head Before",46,471.21,445.107,10.113,6.742,-4935489,422,"Head Before 422"
"3580",46,47,"Head Before",47,471.888,443.751,1.516,1.011,-7109730,422,"Head Before 422"
"3581",47,48,"Head Before",48,470.193,445.107,2.171,1.447,-6382422,422,"Head Before 422"
"3582",48,49,"Head Before",49,468.837,443.073,2.445,1.63,-10318207,422,"Head Before 422"
"3583",49,50,"Head Before",50,464.769,446.124,5.085,3.39,-5469005,422,"Head Before 422"
"3584",50,51,"Head Before",51,462.396,446.802,2.468,1.645,-9608849,422,"Head Before 422"
"3585",51,52,"Head Before",52,463.413,443.751,3.216,2.144,-7499376,422,"Head Before 422"
"3586",52,53,"Head Before",53,464.769,441.717,2.445,1.63,-6185043,422,"Head Before 422"
"3587",53,54,"Head Before",54,461.718,444.429,4.082,2.721,-6845794,422,"Head Before 422"
"3588",54,55,"Head Before",55,461.718,447.48,3.051,2.034,-8746622,422,"Head Before 422"
"3589",55,56,"Head Before",56,459.006,448.158,2.795,1.864,-6382682,422,"Head Before 422"
"3590",56,57,"Head Before",57,461.04,445.107,3.667,2.445,-9406342,422,"Head Before 422"
"3591",57,58,"Head Before",58,459.006,450.87,6.111,4.074,-8082518,422,"Head Before 422"
"3592",58,59,"Head Before",59,457.65,455.277,4.611,3.074,-10124413,422,"Head Before 422"
"3593",59,60,"Head Before",60,457.65,456.633,1.356,0.904,-10260100,422,"Head Before 422"
"3594",60,61,"Head Before",61,456.972,453.921,2.795,1.864,-5400892,422,"Head Before 422"
"3595",61,62,"Head Before",62,457.65,450.192,3.79,2.527,-7373167,422,"Head Before 422"
"3596",62,63,"Head Before",63,458.328,465.108,14.931,9.954,-11321274,422,"Head Before 422"
"3597",63,64,"Head Before",64,456.972,463.752,1.918,1.278,-9992568,422,"Head Before 422"
"3598",64,65,"Head Before",65,457.65,469.515,5.803,3.868,-11377829,422,"Head Before 422"
"3599",65,66,"Head Before",66,457.65,469.515,0,0,-11909815,422,"Head Before 422"
"3600",66,67,"Head Before",67,459.006,470.193,1.516,1.011,-10976398,422,"Head Before 422"
