"","X.1","ID","Track","Slice","X","Y","Distance","Velocity","PixelValue","TrackNumber","Concatenated"
"2403",1,2,"Head Before",2,338.322,84.75,47.558,31.705,-8357729,411,"Head Before 411"
"2404",2,3,"Head Before",3,355.272,104.073,25.704,17.136,-7048001,411,"Head Before 411"
"2405",3,4,"Head Before",4,370.188,142.38,41.109,27.406,-7495524,411,"Head Before 411"
"2406",4,5,"Head Before",5,383.07,161.703,23.223,15.482,-8225624,411,"Head Before 411"
"2407",5,6,"Head Before",6,392.901,161.025,9.854,6.57,-9667177,411,"Head Before 411"
"2408",6,7,"Head Before",7,420.699,170.856,29.485,19.657,-9539681,411,"Head Before 411"
"2409",7,8,"Head Before",8,456.972,185.094,38.967,25.978,-9072475,411,"Head Before 411"
"2410",8,9,"Head Before",9,500.364,190.857,43.773,29.182,-9406072,411,"Head Before 411"
"2411",9,10,"Head Before",10,516.636,176.619,21.622,14.414,-10388612,411,"Head Before 411"
"2412",10,11,"Head Before",11,532.908,165.093,19.941,13.294,-9602679,411,"Head Before 411"
"2413",11,12,"Head Before",12,534.942,164.415,2.144,1.429,-9929847,411,"Head Before 411"
"2414",12,13,"Head Before",13,534.264,161.703,2.795,1.864,-10259574,411,"Head Before 411"
"2415",13,14,"Head Before",14,539.349,153.906,9.309,6.206,-9798771,411,"Head Before 411"
"2416",14,15,"Head Before",15,541.383,149.499,4.854,3.236,-10127998,411,"Head Before 411"
"2417",15,16,"Head Before",16,547.824,161.025,13.204,8.802,-9732989,411,"Head Before 411"
"2418",16,17,"Head Before",17,549.18,165.093,4.288,2.859,-10256250,411,"Head Before 411"
"2419",17,18,"Head Before",18,549.18,172.89,7.797,5.198,-10715770,411,"Head Before 411"
"2420",18,19,"Head Before",19,552.231,175.263,3.865,2.577,-10126204,411,"Head Before 411"
"2421",19,20,"Head Before",20,552.231,172.212,3.051,2.034,-10323835,411,"Head Before 411"
"2422",20,21,"Head Before",21,560.706,171.534,8.502,5.668,-7568742,411,"Head Before 411"
"2423",21,22,"Head Before",22,563.418,175.263,4.611,3.074,-6848089,411,"Head Before 411"
"2424",22,23,"Head Before",23,565.452,178.653,3.953,2.636,-10521214,411,"Head Before 411"
"2425",23,24,"Head Before",24,565.452,178.653,0,0,-10586755,411,"Head Before 411"
"2426",24,25,"Head Before",25,560.028,175.263,6.396,4.264,-10193540,411,"Head Before 411"
"2427",25,26,"Head Before",26,558.333,170.178,5.36,3.573,-9667961,411,"Head Before 411"
"2428",26,27,"Head Before",27,562.062,173.907,5.274,3.516,-10322821,411,"Head Before 411"
"2429",27,28,"Head Before",28,564.774,177.975,4.889,3.259,-10522754,411,"Head Before 411"
"2430",28,29,"Head Before",29,564.774,183.06,5.085,3.39,-10323835,411,"Head Before 411"
"2431",29,30,"Head Before",30,566.469,182.382,1.826,1.217,-10060411,411,"Head Before 411"
"2432",30,31,"Head Before",31,578.334,182.382,11.865,7.91,-10256751,411,"Head Before 411"
"2433",31,32,"Head Before",32,599.013,187.806,21.379,14.252,-8618596,411,"Head Before 411"
"2434",32,33,"Head Before",33,611.217,197.976,15.886,10.591,-8619624,411,"Head Before 411"
"2435",33,34,"Head Before",34,613.929,207.807,10.198,6.799,-10126455,411,"Head Before 411"
"2436",34,35,"Head Before",35,617.319,218.655,11.365,7.577,-10455171,411,"Head Before 411"
"2437",35,36,"Head Before",36,619.014,222.723,4.407,2.938,-10325367,411,"Head Before 411"
"2438",36,37,"Head Before",37,623.76,231.876,10.31,6.874,-10455411,411,"Head Before 411"
"2439",37,38,"Head Before",38,631.557,256.284,25.623,17.082,-9471849,411,"Head Before 411"
"2440",38,39,"Head Before",39,633.252,255.606,1.826,1.217,-9538408,411,"Head Before 411"
"2441",39,40,"Head Before",40,634.608,275.946,20.385,13.59,-8554597,411,"Head Before 411"
"2442",40,41,"Head Before",41,620.37,297.981,26.235,17.49,-8745341,411,"Head Before 411"
"2443",41,42,"Head Before",42,607.488,313.914,20.489,13.659,-9535848,411,"Head Before 411"
"2444",42,43,"Head Before",43,597.657,343.068,30.767,20.511,-7830361,411,"Head Before 411"
"2445",43,44,"Head Before",44,599.013,365.781,22.753,15.169,-5004855,411,"Head Before 411"
"2446",44,45,"Head Before",45,589.86,384.087,20.467,13.644,-9076075,411,"Head Before 411"
"2447",45,46,"Head Before",46,574.266,380.697,15.958,10.639,-7307877,411,"Head Before 411"
"2448",46,47,"Head Before",47,564.774,385.443,10.612,7.075,-9734008,411,"Head Before 411"
"2449",47,48,"Head Before",48,554.943,384.765,9.854,6.57,-10257531,411,"Head Before 411"
"2450",48,49,"Head Before",49,553.587,386.121,1.918,1.278,-10585466,411,"Head Before 411"
"2451",49,50,"Head Before",50,554.943,388.494,2.733,1.822,-9796479,411,"Head Before 411"
"2452",50,51,"Head Before",51,557.655,391.884,4.341,2.894,-9862779,411,"Head Before 411"
"2453",51,52,"Head Before",52,556.299,388.494,3.651,2.434,-9864323,411,"Head Before 411"
"2454",52,53,"Head Before",53,554.943,386.121,2.733,1.822,-9143421,411,"Head Before 411"
"2455",53,54,"Head Before",54,554.265,387.138,1.222,0.815,-10585213,411,"Head Before 411"
"2456",54,55,"Head Before",55,554.943,390.528,3.457,2.305,-10782846,411,"Head Before 411"
