LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. γ rate
,,,,,,,,,(frame),(frame),(frame),(µm),(µm),(µm),(µm),(µm/frame),(µm/frame),(µm/frame),(µm/frame),(µm/frame),(quality),(µm),(µm),,(µm/frame),,(rad/frame)
Track_1141,0,0,350,0,0,0,0,0,349.0,0.0,349.0,1.1520442879483455,352.8666991213147,493.8287055184016,0.0,0.12405827660811308,1.0500402120289525,0.006451141573730558,0.1045893076462428,0.10103269328236957,4261.322857142857,43.296338536231474,1.6027872114445143,0.026608353659843213,0.003300986498419328,0.02660835365984322,1.8517079656077324
Track_1142,1,1,350,0,0,0,0,0,349.0,0.0,349.0,16.971147352134988,213.83126039299813,498.6961303731907,0.0,0.9201255549922885,5.047197319621419,0.024446707267424338,0.7169810029014787,0.7306088232538795,7381.4971428571425,321.1238186923088,21.179068936932865,0.05284923248996435,0.04862792937574495,0.052849232489964364,1.5606247334505328
Track_1143,2,2,350,0,0,0,0,0,349.0,0.0,349.0,0.41249600172396267,619.825230117426,641.3613078806993,0.0,0.13023409278050593,0.639209637038395,5.387062373888241E-4,0.11197890935129623,0.0863224614044601,4239.717142857143,45.45169838039657,0.6896897906230716,0.009075480486376571,0.0011819369676904375,0.009075480486376571,2.00103738995908
Track_1144,3,3,350,0,0,0,0,0,349.0,0.0,349.0,0.6608738667376292,40.84572870169683,614.2645782699925,0.0,0.09290793135785672,0.3160283152767503,0.0055764268507613925,0.0826333640487165,0.05400783915107243,5292.4971428571425,32.42486804389201,0.9024073563422614,0.02038169795611922,0.001893621394663694,0.02038169795611923,1.8690843795545158
Track_1145,4,4,56,6,0,0,0,18,95.0,5.0,100.0,12.478161567745742,111.05147150664563,638.7759617092167,0.0,0.44480057216188595,3.809921353657989,0.015914053173874187,0.3395352743654089,0.5681948901678214,4989.964285714285,30.526934692127902,12.90444979127817,0.4087590743581449,0.13134906913416572,0.29529878636568163,1.7591035833374107
Track_1146,5,5,350,0,0,0,0,0,349.0,0.0,349.0,0.4297644496275252,785.8656589102436,89.03479632640922,0.0,0.12853280465150552,0.48246923736654396,0.008377806878044902,0.1072551703829336,0.08644997812740926,5947.4742857142855,44.85794882337546,1.0083815222544916,0.009580564000366755,0.0012314167611103873,0.009580564000366762,1.9109683083839806
Track_1147,6,6,350,0,0,0,0,0,349.0,0.0,349.0,0.7501707513786757,122.73659492751311,500.53044526698267,0.0,0.2374638314980816,1.414990146576565,0.0010937037794258536,0.17804247881290272,0.21968223259663414,5262.5542857142855,82.8748771928305,2.143636570643145,0.00905184751747147,0.002149486393635174,0.009051847517471472,2.030238980226021
