"","X.1","ID","Track","Slice","X","Y","Distance","Velocity","PixelValue","TrackNumber"
"518",414,418,"Tail After",174,652.236,204.417,0.959,0.639,-10258830,222
"519",415,419,"Tail After",175,652.236,204.417,0,0,-10522004,222
"520",416,420,"Tail After",176,652.236,204.417,0,0,-10916758,222
"521",417,421,"Tail After",177,652.236,205.095,0.678,0.452,-10653077,222
"522",418,422,"Tail After",178,652.914,205.095,0.678,0.452,-11047837,222
"523",419,423,"Tail After",179,652.914,205.095,0,0,-11645374,222
"524",420,424,"Tail After",180,652.914,205.095,0,0,-14466489,222
"525",421,425,"Tail After",181,652.914,205.095,0,0,-13150901,222
"526",422,426,"Tail After",182,652.914,205.095,0,0,-10390418,222
"527",423,427,"Tail After",183,652.236,206.112,1.222,0.815,-11177877,222
"528",424,428,"Tail After",184,652.236,206.112,0,0,-10914966,222
"529",425,429,"Tail After",185,652.236,206.112,0,0,-11967658,222
"530",426,430,"Tail After",186,652.914,206.79,0.959,0.639,-10191243,222
"531",427,431,"Tail After",187,652.914,206.79,0,0,-9666441,222
"532",428,432,"Tail After",188,652.914,206.79,0,0,-13350588,222
"533",429,433,"Tail After",189,652.914,206.79,0,0,-10455696,222
"534",430,434,"Tail After",190,652.914,206.112,0.678,0.452,-11115694,222
"535",431,435,"Tail After",191,652.236,206.79,0.959,0.639,-11442854,222
"536",432,436,"Tail After",192,652.236,206.79,0,0,-10653075,222
"537",433,437,"Tail After",193,652.914,206.79,0.678,0.452,-10587787,222
"538",434,438,"Tail After",194,652.914,206.79,0,0,-11903920,222
"539",435,439,"Tail After",195,652.914,207.468,0.678,0.452,-11114916,222
"540",436,440,"Tail After",196,652.914,207.468,0,0,-12102563,222
"541",437,441,"Tail After",197,652.914,207.468,0,0,-11908025,222
"542",438,442,"Tail After",198,652.914,207.468,0,0,-9606806,222
"543",439,443,"Tail After",199,652.914,206.79,0.678,0.452,-10323080,222
"544",440,444,"Tail After",200,652.914,206.112,0.678,0.452,-10127246,222
"545",441,445,"Tail After",201,652.914,206.112,0,0,-10591134,222
"546",442,446,"Tail After",202,652.914,206.79,0.678,0.452,-9473944,222
"547",443,447,"Tail After",203,652.914,206.112,0.678,0.452,-12300720,222
"548",444,448,"Tail After",204,652.914,206.112,0,0,-10330781,222
"549",445,449,"Tail After",205,652.914,206.112,0,0,-11906994,222
"550",446,450,"Tail After",206,652.914,206.112,0,0,-12229013,222
"551",447,451,"Tail After",207,652.914,206.112,0,0,-11505825,222
"552",448,452,"Tail After",208,652.914,206.112,0,0,-10717086,222
"553",449,453,"Tail After",209,653.592,206.112,0.678,0.452,-13021886,222
"554",450,454,"Tail After",210,653.592,206.112,0,0,-10390166,222
"555",451,455,"Tail After",211,653.592,205.095,1.017,0.678,-10197403,222
"556",452,456,"Tail After",212,653.592,206.112,1.017,0.678,-11636888,222
"557",453,457,"Tail After",213,653.592,205.095,1.017,0.678,-12032671,222
"558",454,458,"Tail After",214,653.592,206.112,1.017,0.678,-11045513,222
"559",455,459,"Tail After",215,653.592,204.417,1.695,1.13,-11570830,222
"560",456,460,"Tail After",216,654.609,203.739,1.222,0.815,-10913677,222
"561",457,461,"Tail After",217,654.609,203.739,0,0,-10652562,222
"562",458,462,"Tail After",218,654.609,203.739,0,0,-11440534,222
"563",459,463,"Tail After",219,654.609,203.739,0,0,-11505815,222
"564",460,464,"Tail After",220,653.592,203.739,1.017,0.678,-11178910,222
"565",461,465,"Tail After",221,652.914,203.739,0.678,0.452,-11045777,222
"566",462,466,"Tail After",222,652.914,203.061,0.678,0.452,-11901863,222
"567",463,467,"Tail After",223,652.914,203.061,0,0,-11573150,222
"568",464,468,"Tail After",224,652.914,204.417,1.356,0.904,-10980751,222
"569",465,469,"Tail After",225,652.236,203.739,0.959,0.639,-11701913,222
"570",466,470,"Tail After",226,652.236,205.095,1.356,0.904,-11180435,222
"571",467,471,"Tail After",227,652.236,204.417,0.678,0.452,-11504785,222
"572",468,472,"Tail After",228,653.592,204.417,1.356,0.904,-11572387,222
"573",469,473,"Tail After",229,653.592,204.417,0,0,-11836569,222
"574",470,474,"Tail After",230,653.592,204.417,0,0,-11309463,222
"575",471,475,"Tail After",231,653.592,204.417,0,0,-11571867,222
"576",472,476,"Tail After",232,653.592,204.417,0,0,-11637403,222
"577",473,477,"Tail After",233,652.914,204.417,0.678,0.452,-11704223,222
"578",474,478,"Tail After",234,653.592,204.417,0.678,0.452,-10654605,222
"579",475,479,"Tail After",235,653.592,203.739,0.678,0.452,-10652295,222
"580",476,480,"Tail After",236,653.592,203.739,0,0,-11770275,222
"581",477,481,"Tail After",237,652.914,204.417,0.959,0.639,-12039093,222
"582",478,482,"Tail After",238,652.914,203.739,0.678,0.452,-10457757,222
"583",479,483,"Tail After",239,652.914,203.739,0,0,-13214879,222
"584",480,484,"Tail After",240,652.914,204.417,0.678,0.452,-11638428,222
"585",481,485,"Tail After",241,652.914,204.417,0,0,-11705763,222
"586",482,486,"Tail After",242,652.914,203.739,0.678,0.452,-11309724,222
"587",483,487,"Tail After",243,652.914,203.739,0,0,-11376287,222
"588",484,488,"Tail After",244,652.236,203.739,0.678,0.452,-11245212,222
"703",115,119,"Tail After",41,128.481,367.137,3.604,2.402,-10256525,223
"704",116,120,"Tail After",42,129.837,369.51,2.733,1.822,-9470082,223
"705",117,121,"Tail After",43,129.837,369.51,0,0,-9535623,223
"706",118,122,"Tail After",44,131.871,368.832,2.144,1.429,-9929867,223
"707",119,123,"Tail After",45,129.837,372.222,3.953,2.636,-9272703,223
"708",120,124,"Tail After",46,131.193,375.951,3.968,2.645,-10787995,223
"709",121,125,"Tail After",47,132.888,370.866,5.36,3.573,-10061453,223
"710",122,126,"Tail After",48,131.193,372.9,2.648,1.765,-10195097,223
"711",123,127,"Tail After",49,133.566,372.9,2.373,1.582,-11376287,223
"712",124,128,"Tail After",50,132.888,372.9,0.678,0.452,-9471631,223
"713",125,129,"Tail After",51,129.159,373.578,3.79,2.527,-9407119,223
"714",126,130,"Tail After",52,129.159,373.578,0,0,-9471374,223
"715",127,131,"Tail After",53,129.159,373.578,0,0,-9802131,223
"716",128,132,"Tail After",54,131.193,372.222,2.445,1.63,-7895173,223
